,symbol,title,actual,forecast,previous,datetime,preceding_price
71296,JPY,Monetary Base y/y,0.0,-0.235,-0.223,2007-01-04 19:50:00,0.0
71248,JPY,10-y Bond Auction,25.19,,1.9699999999999998,2007-01-09 23:45:00,0.0
71221,JPY,M2 Money Stock y/y,0.0,0.008,0.006999999999999999,2007-01-11 19:50:00,0.0
71220,JPY,Bank Lending y/y,57.14,,0.012,2007-01-11 19:50:00,0.0
71195,JPY,Core Machinery Orders m/m,56.31,0.042,0.027999999999999997,2007-01-14 19:50:00,0.0
71192,JPY,PPI y/y,70.89,0.025,0.027000000000000003,2007-01-15 19:50:00,0.0
71178,JPY,Current Account,83.83,2100000000000.0,2020000000000.0,2007-01-16 19:50:00,0.0
71167,JPY,30-y Bond Auction,53.44,,2.76,2007-01-17 23:45:00,0.0
71165,JPY,Tertiary Industry Activity m/m,90.91,0.0,0.021,2007-01-17 19:50:00,0.0
71107,JPY,All Industries Activity m/m,100.0,0.0,0.017,2007-01-23 19:50:00,0.0
71087,JPY,Trade Balance,94.81,870000000000.0,980000000000.0,2007-01-24 19:50:00,0.0
71082,EUR,Belgian NBB Business Climate,91.18,2.6,2.5,2007-01-24 10:00:00,0.0
71076,JPY,SPPI y/y,47.22,-0.001,-0.001,2007-01-25 19:50:00,0.0
71074,JPY,National Core CPI y/y,44.83,0.002,0.002,2007-01-25 19:30:00,0.0
71073,JPY,Tokyo Core CPI y/y,48.0,0.002,0.002,2007-01-25 19:30:00,0.0
71050,JPY,Retail Sales y/y,45.89,-0.006,-0.002,2007-01-28 19:50:00,0.0
71047,JPY,Prelim Industrial Production m/m,75.12,0.004,0.008,2007-01-29 19:50:00,0.0
71046,JPY,Unemployment Rate,33.33,0.04,0.04,2007-01-29 19:30:00,0.0
71045,JPY,Household Spending y/y,55.62,-0.012,-0.006999999999999999,2007-01-29 19:30:00,0.0
71041,JPY,Average Cash Earnings y/y,76.6,0.005,0.002,2007-01-30 21:30:00,0.0
71038,JPY,Final Manufacturing PMI,86.1,,53.1,2007-01-30 19:30:00,0.0
71025,JPY,10-y Bond Auction,30.77,,2.115,2007-01-31 23:45:00,0.0
68539,JPY,Average Cash Earnings y/y,73.4,0.003,-0.001,2007-03-01 21:30:00,0.0
68535,JPY,Monetary Base y/y,1.54,-0.215,-0.21100000000000002,2007-03-01 19:50:00,0.0
68534,JPY,Unemployment Rate,36.11,0.040999999999999995,0.040999999999999995,2007-03-01 19:30:00,0.0
68533,JPY,National Core CPI y/y,43.1,0.0,0.001,2007-03-01 19:30:00,0.0
68532,JPY,Household Spending y/y,48.88,-0.002,-0.019,2007-03-01 19:30:00,0.0
68531,JPY,Tokyo Core CPI y/y,48.0,0.001,0.002,2007-03-01 19:30:00,0.0
68495,JPY,Capital Spending q/y,88.6,0.135,0.12,2007-03-04 19:50:00,0.0
68462,JPY,M2 Money Stock y/y,8.11,0.01,0.01,2007-03-07 19:50:00,0.0
68461,JPY,Bank Lending y/y,66.07,,0.017,2007-03-07 19:50:00,0.0
68447,JPY,Core Machinery Orders m/m,47.47,0.018000000000000002,-0.006999999999999999,2007-03-08 19:50:00,0.0
68412,JPY,PPI y/y,67.72,0.018000000000000002,0.022000000000000002,2007-03-11 19:50:00,0.0
68411,JPY,Final GDP Price Index y/y,39.06,0.005,-0.005,2007-03-11 19:50:00,0.0
68410,JPY,Current Account,79.34,2009999999999.9998,1870000000000.0,2007-03-11 19:50:00,0.0
68409,JPY,Final GDP q/q,94.55,0.013000000000000001,0.012,2007-03-11 19:50:00,0.0
68353,JPY,Tertiary Industry Activity m/m,62.5,0.01,-0.004,2007-03-15 19:50:00,0.0
68320,JPY,Overnight Call Rate,100.0,0.005,0.005,2007-03-19 23:00:00,0.0
