,symbol,title,actual,forecast,previous,datetime,preceding_price
263913,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-03 19:30:00,2.0
263889,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-03 20:30:00,2.0
263825,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-04 19:30:00,-1.0
263801,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-04 20:30:00,-1.0
263737,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-05 19:30:00,0.0
263713,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-05 20:30:00,0.0
263649,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-06 19:30:00,0.0
263624,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-06 20:30:00,0.0
263561,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-07 19:30:00,0.0
263537,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-07 20:30:00,0.0
263473,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-08 19:30:00,0.0
263449,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-08 20:30:00,0.0
263383,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-09 19:30:00,-1.0
263359,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-09 20:30:00,-1.0
263297,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-10 19:30:00,0.0
263273,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-10 20:30:00,0.0
263209,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-11 19:30:00,-2.0
263185,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-11 20:30:00,-1.0
263121,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-12 19:30:00,0.0
263097,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-12 20:30:00,0.0
263033,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-13 19:30:00,0.0
263009,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-13 20:30:00,0.0
262945,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-14 19:30:00,0.0
262920,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-14 20:30:00,0.0
262857,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-15 19:30:00,0.0
262833,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-15 20:30:00,0.0
262769,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-16 19:30:00,1.0
262745,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-16 20:30:00,0.0
262681,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-17 19:30:00,0.0
262657,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-17 20:30:00,-1.0
262593,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-18 19:30:00,0.0
262569,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-18 20:30:00,0.0
262505,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-19 19:30:00,1.0
262481,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-19 20:30:00,1.0
262417,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-20 19:30:00,1.0
262393,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-20 20:30:00,1.0
262329,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-21 19:30:00,1.0
262305,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-21 20:30:00,1.0
262241,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-22 19:30:00,0.0
262217,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-22 20:30:00,0.0
262153,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-23 19:30:00,0.0
262129,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-23 20:30:00,0.0
262065,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-24 19:30:00,1.0
262041,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-24 20:30:00,1.0
261977,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-25 19:30:00,0.0
261953,AUD,New Motor Vehicle Sales m/m,44.85,,-0.001,2001-01-25 20:30:00,0.0
261889,AUD,MI Leading Index m/m,44.0,,-0.001,2001-01-26 19:30:00,-1.0
