,symbol,title,actual,forecast,previous,datetime,preceding_price
71082,EUR,Belgian NBB Business Climate,91.18,2.6,2.5,2007-01-24 10:00:00,0.0
68274,EUR,Belgian NBB Business Climate,93.85,2.9,3.5,2007-03-22 10:00:00,0.0
65914,EUR,Belgian NBB Business Climate,88.5,1.3,1.5,2007-10-24 10:00:00,0.0
65575,EUR,Belgian NBB Business Climate,84.22,-1.0,-0.1,2007-11-22 10:00:00,0.0
65233,EUR,Belgian NBB Business Climate,88.24,0.7,1.4,2007-12-20 10:00:00,0.0
64869,EUR,Belgian NBB Business Climate,79.41,-2.5,-1.9,2008-01-24 10:00:00,0.0
61938,EUR,Belgian NBB Business Climate,85.03,-0.8,0.2,2008-03-26 10:00:00,0.0
59024,EUR,Belgian NBB Business Climate,44.92,-17.5,-14.8,2008-11-24 10:00:00,0.0
58648,EUR,Belgian NBB Business Climate,21.12,-26.5,-23.7,2008-12-22 10:00:00,0.0
58290,EUR,Belgian NBB Business Climate,0.8,-33.0,-31.3,2009-01-23 10:00:00,0.0
55415,EUR,Belgian NBB Business Climate,0.0,-31.9,-31.6,2009-03-24 10:00:00,0.0
52408,EUR,Belgian NBB Business Climate,46.52,-11.3,-14.2,2009-11-24 10:00:00,0.0
52040,EUR,Belgian NBB Business Climate,60.96,-5.5,-8.8,2009-12-22 10:00:00,0.0
51724,EUR,Consumer Confidence,42.31,-15.0,-16.0,2010-01-21 11:00:00,0.0
51705,EUR,Belgian NBB Business Climate,63.37,-7.0,-7.9,2010-01-22 10:00:00,0.0
48851,EUR,Consumer Confidence,38.46,-17.0,-17.0,2010-03-22 11:00:00,0.0
48843,EUR,Belgian NBB Business Climate,65.78,-4.1,-7.0,2010-03-23 10:00:00,0.0
48470,EUR,Consumer Confidence,38.46,-17.0,-17.0,2010-04-22 10:00:00,0.0
48079,EUR,Consumer Confidence,46.15,-15.0,-15.0,2010-05-20 10:00:00,0.0
47671,EUR,Consumer Confidence,34.62,-19.0,-18.0,2010-06-22 10:00:00,0.0
47329,EUR,Consumer Confidence,38.46,-17.0,-17.0,2010-07-22 10:00:00,0.0
46990,EUR,Consumer Confidence,50.0,-13.0,-14.0,2010-08-23 10:03:00,0.0
46617,EUR,Consumer Confidence,61.54,-10.0,-11.0,2010-09-22 10:00:00,0.0
46238,EUR,Consumer Confidence,61.54,-10.0,-11.0,2010-10-21 10:00:00,0.0
45835,EUR,Consumer Confidence,61.54,-10.0,-11.0,2010-11-22 11:00:00,0.0
45801,EUR,Belgian NBB Business Climate,77.01,-2.7,-2.8,2010-11-24 10:00:00,0.0
45465,EUR,Consumer Confidence,65.38,-9.0,-10.0,2010-12-20 11:00:00,0.0
45440,EUR,Belgian NBB Business Climate,86.63,1.2,0.8,2010-12-22 10:00:00,0.0
45136,EUR,Consumer Confidence,61.54,-12.0,-11.0,2011-01-20 11:00:00,0.0
45126,EUR,Belgian NBB Business Climate,92.78,3.3,3.1,2011-01-21 10:00:00,0.0
42255,EUR,Consumer Confidence,65.38,-11.0,-10.0,2011-03-23 11:00:00,0.0
