symbol,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31
ATPT,,,,,,,,,,,,
ATI,,,,,,,,,,,,
ABTX,,,,,,,,,,,,
ALLE,,,,,,,,,,,,
ALNA,,,,,,,,,,,,
AGN,,,,,,,,,,,,
ALE,,,,,,,,,,,,
ALLM,,,,,,,,,,,,
ADS,,,,,,,,,,,,
AHGP,,,,,,,,,,,,
AMMA,,,,,,,,,,,,
AOI,,,,,,,,,,,,
ARLP,,,,,,,,,,,,
AB,,,,,,,,,,,,
LNT,,,,,,,,,,,,
AHPI,,,,,,,,,,,,
AMOT,,,,,,,,,,,,
ALQA,,,,,,,,,,,,
ALSN,,,,,,,,,,,,
ALLT,,,,,,,,,,,,
MDRX,,,,,,,,,,,,
ALL-D,,,,,,,,,,,,
ALL,,,,,,,,,,,,
LTMP,,,,,,,,,,,,
ALLY,,,,,,,,,,,,
ALLY^A,,,,,,,,,,,,
HLWD,,,,,,,,,,,,
ALNY,,,,,,,,,,,,
APHE,,,,,,,,,,,,
APT,,,,,,,,,,,,
AWWI,,,,,,,,,,,,
ALPE,,,,,,,,,,,,
GOOGL,,,,,,,,,,,,
GOOG,,,,,,,,,,,,
ATEC,,,,,,,,,,,,
ALPP,,,,,,,,,,,,
ALPN,,,,,,,,,,,,
ALRT,,,,,,,,,,,,
ALTR,,,,,,,,,,,,
AVOZ,,,,,,,,,,,,
AIKO,,,,,,,,,,,,
AYX,,,,,,,,,,,,
ALTX,,,,,,,,,,,,
ATUS,,,,,,,,,,,,
ALT,,,,,,,,,,,,
AAMC,,,,,,,,,,,,
ASPS,,,,,,,,,,,,
AIMC,,,,,,,,,,,,
ALVRQ,,,,,,,,,,,,
AMAG,,,,,,,,,,,,
AMBS,,,,,,,,,,,,
AMRU,,,,,,,,,,,,
AMAZ,,,,,,,,,,,,
AMBCW,,,,,,,,,,,,
AMBC,,,,,,,,,,,,
AMBA,,,,,,,,,,,,
ABCP,,,,,,,,,,,,
AMBR,,,,,,,,,,,,
AMBO,,,,,,,,,,,,
AMBOY,,,,,,,,,,,,
AMC,,,,,,,,,,,,
AMCX,,,,,,,,,,,,
AMDA,,,,,,,,,,,,
AMED,,,,,,,,,,,,
AEE,,,,,,,,,,,,
AMRC,,,,,,,,,,,,
AMRH,,,,,,,,,,,,
AMRHW,,,,,,,,,,,,
ATAX,,,,,,,,,,,,
AAGH,,,,,,,,,,,,
AASL,,,,,,,,,,,,
