,symbol,title,actual,forecast,previous,datetime,symbol_pair,preceding_price
199756,NZD,GDT Price Index,30.29,,-0.024,2003-01-02 10:33:00,NZDJPY,0.0
199734,NZD,CPI q/q,17.86,0.004,0.0,2003-01-02 17:45:00,NZDJPY,-1.0
199668,NZD,GDT Price Index,30.29,,-0.024,2003-01-03 10:33:00,NZDJPY,0.0
199646,NZD,CPI q/q,17.86,0.004,0.0,2003-01-03 17:45:00,NZDJPY,0.0
199580,NZD,GDT Price Index,30.29,,-0.024,2003-01-04 10:33:00,NZDJPY,-2.0
199558,NZD,CPI q/q,17.86,0.004,0.0,2003-01-04 17:45:00,NZDJPY,-2.0
199492,NZD,GDT Price Index,30.29,,-0.024,2003-01-05 10:33:00,NZDJPY,-2.0
199470,NZD,CPI q/q,17.86,0.004,0.0,2003-01-05 17:45:00,NZDJPY,-2.0
199406,NZD,GDT Price Index,30.29,,-0.024,2003-01-06 10:33:00,NZDJPY,0.0
199382,NZD,CPI q/q,17.86,0.004,0.0,2003-01-06 17:45:00,NZDJPY,0.0
199315,NZD,GDT Price Index,30.29,,-0.024,2003-01-07 10:33:00,NZDJPY,0.0
199294,NZD,CPI q/q,17.86,0.004,0.0,2003-01-07 17:45:00,NZDJPY,0.0
199228,NZD,GDT Price Index,30.29,,-0.024,2003-01-08 10:33:00,NZDJPY,0.0
199206,NZD,CPI q/q,17.86,0.004,0.0,2003-01-08 17:45:00,NZDJPY,0.0
199140,NZD,GDT Price Index,30.29,,-0.024,2003-01-09 10:33:00,NZDJPY,0.0
199123,NZD,CPI q/q,17.86,0.004,0.0,2003-01-09 17:45:00,NZDJPY,0.0
199052,NZD,GDT Price Index,30.29,,-0.024,2003-01-10 10:33:00,NZDJPY,0.0
199030,NZD,CPI q/q,17.86,0.004,0.0,2003-01-10 17:45:00,NZDJPY,0.0
198962,NZD,GDT Price Index,30.29,,-0.024,2003-01-11 10:33:00,NZDJPY,-2.0
198942,NZD,CPI q/q,17.86,0.004,0.0,2003-01-11 17:45:00,NZDJPY,-2.0
198879,NZD,GDT Price Index,30.29,,-0.024,2003-01-12 10:33:00,NZDJPY,-2.0
198853,NZD,CPI q/q,17.86,0.004,0.0,2003-01-12 17:45:00,NZDJPY,-2.0
198788,NZD,GDT Price Index,30.29,,-0.024,2003-01-13 10:33:00,NZDJPY,0.0
198766,NZD,CPI q/q,17.86,0.004,0.0,2003-01-13 17:45:00,NZDJPY,0.0
198700,NZD,GDT Price Index,30.29,,-0.024,2003-01-14 10:33:00,NZDJPY,0.0
198678,NZD,CPI q/q,17.86,0.004,0.0,2003-01-14 17:45:00,NZDJPY,1.0
198612,NZD,GDT Price Index,30.29,,-0.024,2003-01-15 10:33:00,NZDJPY,0.0
198588,NZD,CPI q/q,17.86,0.004,0.0,2003-01-15 17:45:00,NZDJPY,0.0
198524,NZD,GDT Price Index,30.29,,-0.024,2003-01-16 10:33:00,NZDJPY,0.0
198502,NZD,CPI q/q,17.86,0.004,0.0,2003-01-16 17:45:00,NZDJPY,0.0
198436,NZD,GDT Price Index,30.29,,-0.024,2003-01-17 10:33:00,NZDJPY,0.0
198414,NZD,CPI q/q,17.86,0.004,0.0,2003-01-17 17:45:00,NZDJPY,0.0
198348,NZD,GDT Price Index,30.29,,-0.024,2003-01-18 10:33:00,NZDJPY,-2.0
198326,NZD,CPI q/q,17.86,0.004,0.0,2003-01-18 17:45:00,NZDJPY,-2.0
198260,NZD,GDT Price Index,30.29,,-0.024,2003-01-19 10:33:00,NZDJPY,-2.0
198238,NZD,CPI q/q,17.86,0.004,0.0,2003-01-19 17:45:00,NZDJPY,-2.0
198171,NZD,GDT Price Index,30.29,,-0.024,2003-01-20 10:33:00,NZDJPY,0.0
198149,NZD,CPI q/q,17.86,0.004,0.0,2003-01-20 17:45:00,NZDJPY,0.0
198084,NZD,GDT Price Index,30.29,,-0.024,2003-01-21 10:33:00,NZDJPY,0.0
198062,NZD,CPI q/q,17.86,0.004,0.0,2003-01-21 17:45:00,NZDJPY,1.0
197996,NZD,GDT Price Index,30.29,,-0.024,2003-01-22 10:33:00,NZDJPY,0.0
197974,NZD,CPI q/q,17.86,0.004,0.0,2003-01-22 17:45:00,NZDJPY,0.0
197908,NZD,GDT Price Index,30.29,,-0.024,2003-01-23 10:33:00,NZDJPY,0.0
197886,NZD,CPI q/q,17.86,0.004,0.0,2003-01-23 17:45:00,NZDJPY,0.0
197820,NZD,GDT Price Index,30.29,,-0.024,2003-01-24 10:33:00,NZDJPY,0.0
197798,NZD,CPI q/q,17.86,0.004,0.0,2003-01-24 17:45:00,NZDJPY,0.0
197733,NZD,GDT Price Index,30.29,,-0.024,2003-01-25 10:33:00,NZDJPY,-2.0
197710,NZD,CPI q/q,17.86,0.004,0.0,2003-01-25 17:45:00,NZDJPY,-2.0
197644,NZD,GDT Price Index,30.29,,-0.024,2003-01-26 10:33:00,NZDJPY,-2.0
197622,NZD,CPI q/q,17.86,0.004,0.0,2003-01-26 17:45:00,NZDJPY,-2.0
197556,NZD,GDT Price Index,30.29,,-0.024,2003-01-27 10:33:00,NZDJPY,0.0
197534,NZD,CPI q/q,17.86,0.004,0.0,2003-01-27 17:45:00,NZDJPY,-1.0
197468,NZD,GDT Price Index,30.29,,-0.024,2003-01-28 10:33:00,NZDJPY,0.0
197446,NZD,CPI q/q,17.86,0.004,0.0,2003-01-28 17:45:00,NZDJPY,0.0
197378,NZD,GDT Price Index,30.29,,-0.024,2003-01-29 10:33:00,NZDJPY,0.0
197358,NZD,CPI q/q,17.86,0.004,0.0,2003-01-29 17:45:00,NZDJPY,0.0
197292,NZD,GDT Price Index,30.29,,-0.024,2003-01-30 10:33:00,NZDJPY,0.0
197270,NZD,CPI q/q,17.86,0.004,0.0,2003-01-30 17:45:00,NZDJPY,0.0
197204,NZD,GDT Price Index,30.29,,-0.024,2003-01-31 10:33:00,NZDJPY,0.0
197181,NZD,CPI q/q,17.86,0.004,0.0,2003-01-31 17:45:00,NZDJPY,0.0
197116,NZD,GDT Price Index,30.29,,-0.024,2003-02-01 10:33:00,NZDJPY,-2.0
197094,NZD,CPI q/q,17.86,0.004,0.0,2003-02-01 17:45:00,NZDJPY,-2.0
197029,NZD,GDT Price Index,30.29,,-0.024,2003-02-02 10:33:00,NZDJPY,-2.0
197006,NZD,CPI q/q,17.86,0.004,0.0,2003-02-02 17:45:00,NZDJPY,-2.0
196937,NZD,GDT Price Index,30.29,,-0.024,2003-02-03 10:33:00,NZDJPY,0.0
196918,NZD,CPI q/q,17.86,0.004,0.0,2003-02-03 17:45:00,NZDJPY,0.0
196852,NZD,GDT Price Index,30.29,,-0.024,2003-02-04 10:33:00,NZDJPY,0.0
196830,NZD,CPI q/q,17.86,0.004,0.0,2003-02-04 17:45:00,NZDJPY,0.0
196764,NZD,GDT Price Index,30.29,,-0.024,2003-02-05 10:33:00,NZDJPY,0.0
196742,NZD,CPI q/q,17.86,0.004,0.0,2003-02-05 17:45:00,NZDJPY,0.0
196676,NZD,GDT Price Index,30.29,,-0.024,2003-02-06 10:33:00,NZDJPY,0.0
196654,NZD,CPI q/q,17.86,0.004,0.0,2003-02-06 17:45:00,NZDJPY,0.0
196588,NZD,GDT Price Index,30.29,,-0.024,2003-02-07 10:33:00,NZDJPY,0.0
196566,NZD,CPI q/q,17.86,0.004,0.0,2003-02-07 17:45:00,NZDJPY,0.0
196500,NZD,GDT Price Index,30.29,,-0.024,2003-02-08 10:33:00,NZDJPY,-2.0
196478,NZD,CPI q/q,17.86,0.004,0.0,2003-02-08 17:45:00,NZDJPY,-2.0
196412,NZD,GDT Price Index,30.29,,-0.024,2003-02-09 10:33:00,NZDJPY,-2.0
196390,NZD,CPI q/q,17.86,0.004,0.0,2003-02-09 17:45:00,NZDJPY,-2.0
196323,NZD,GDT Price Index,30.29,,-0.024,2003-02-10 10:33:00,NZDJPY,0.0
196302,NZD,CPI q/q,17.86,0.004,0.0,2003-02-10 17:45:00,NZDJPY,0.0
196236,NZD,GDT Price Index,30.29,,-0.024,2003-02-11 10:33:00,NZDJPY,0.0
196214,NZD,CPI q/q,17.86,0.004,0.0,2003-02-11 17:45:00,NZDJPY,0.0
196148,NZD,GDT Price Index,30.29,,-0.024,2003-02-12 10:33:00,NZDJPY,0.0
196126,NZD,CPI q/q,17.86,0.004,0.0,2003-02-12 17:45:00,NZDJPY,0.0
196059,NZD,GDT Price Index,30.29,,-0.024,2003-02-13 10:33:00,NZDJPY,0.0
196037,NZD,CPI q/q,17.86,0.004,0.0,2003-02-13 17:45:00,NZDJPY,0.0
195972,NZD,GDT Price Index,30.29,,-0.024,2003-02-14 10:33:00,NZDJPY,0.0
195950,NZD,CPI q/q,17.86,0.004,0.0,2003-02-14 17:45:00,NZDJPY,0.0
195886,NZD,GDT Price Index,30.29,,-0.024,2003-02-15 10:33:00,NZDJPY,-2.0
195862,NZD,CPI q/q,17.86,0.004,0.0,2003-02-15 17:45:00,NZDJPY,-2.0
195796,NZD,GDT Price Index,30.29,,-0.024,2003-02-16 10:33:00,NZDJPY,-2.0
195774,NZD,CPI q/q,17.86,0.004,0.0,2003-02-16 17:45:00,NZDJPY,-2.0
195708,NZD,GDT Price Index,30.29,,-0.024,2003-02-17 10:33:00,NZDJPY,0.0
195690,NZD,CPI q/q,17.86,0.004,0.0,2003-02-17 17:45:00,NZDJPY,0.0
195620,NZD,GDT Price Index,30.29,,-0.024,2003-02-18 10:33:00,NZDJPY,0.0
195598,NZD,CPI q/q,17.86,0.004,0.0,2003-02-18 17:45:00,NZDJPY,0.0
195532,NZD,GDT Price Index,30.29,,-0.024,2003-02-19 10:33:00,NZDJPY,0.0
195510,NZD,CPI q/q,17.86,0.004,0.0,2003-02-19 17:45:00,NZDJPY,0.0
195442,NZD,GDT Price Index,30.29,,-0.024,2003-02-20 10:33:00,NZDJPY,0.0
195430,NZD,CPI q/q,17.86,0.004,0.0,2003-02-20 17:45:00,NZDJPY,0.0
195356,NZD,GDT Price Index,30.29,,-0.024,2003-02-21 10:33:00,NZDJPY,0.0
195334,NZD,CPI q/q,17.86,0.004,0.0,2003-02-21 17:45:00,NZDJPY,0.0
195268,NZD,GDT Price Index,30.29,,-0.024,2003-02-22 10:33:00,NZDJPY,-2.0
195246,NZD,CPI q/q,17.86,0.004,0.0,2003-02-22 17:45:00,NZDJPY,-2.0
195180,NZD,GDT Price Index,30.29,,-0.024,2003-02-23 10:33:00,NZDJPY,-2.0
195158,NZD,CPI q/q,17.86,0.004,0.0,2003-02-23 17:45:00,NZDJPY,-2.0
195092,NZD,GDT Price Index,30.29,,-0.024,2003-02-24 10:33:00,NZDJPY,0.0
195070,NZD,CPI q/q,17.86,0.004,0.0,2003-02-24 17:45:00,NZDJPY,0.0
195004,NZD,GDT Price Index,30.29,,-0.024,2003-02-25 10:33:00,NZDJPY,0.0
194983,NZD,CPI q/q,17.86,0.004,0.0,2003-02-25 17:45:00,NZDJPY,0.0
194916,NZD,GDT Price Index,30.29,,-0.024,2003-02-26 10:33:00,NZDJPY,0.0
194894,NZD,CPI q/q,17.86,0.004,0.0,2003-02-26 17:45:00,NZDJPY,0.0
194828,NZD,GDT Price Index,30.29,,-0.024,2003-02-27 10:33:00,NZDJPY,0.0
194806,NZD,CPI q/q,17.86,0.004,0.0,2003-02-27 17:45:00,NZDJPY,0.0
194739,NZD,GDT Price Index,30.29,,-0.024,2003-02-28 10:33:00,NZDJPY,0.0
194718,NZD,CPI q/q,17.86,0.004,0.0,2003-02-28 17:45:00,NZDJPY,0.0
