,symbol,title,actual,forecast,previous,datetime,symbol_pair,preceding_price
194652,NZD,GDT Price Index,30.29,,-0.024,2003-03-01 10:33:00,NZDJPY,-2.0
194630,NZD,CPI q/q,17.86,0.004,0.0,2003-03-01 17:45:00,NZDJPY,-2.0
194564,NZD,GDT Price Index,30.29,,-0.024,2003-03-02 10:33:00,NZDJPY,-2.0
194543,NZD,CPI q/q,17.86,0.004,0.0,2003-03-02 17:45:00,NZDJPY,-2.0
194473,NZD,GDT Price Index,30.29,,-0.024,2003-03-03 10:33:00,NZDJPY,0.0
194454,NZD,CPI q/q,17.86,0.004,0.0,2003-03-03 17:45:00,NZDJPY,0.0
194388,NZD,GDT Price Index,30.29,,-0.024,2003-03-04 10:33:00,NZDJPY,0.0
194366,NZD,CPI q/q,17.86,0.004,0.0,2003-03-04 17:45:00,NZDJPY,0.0
194297,NZD,GDT Price Index,30.29,,-0.024,2003-03-05 10:33:00,NZDJPY,0.0
194277,NZD,CPI q/q,17.86,0.004,0.0,2003-03-05 17:45:00,NZDJPY,0.0
194212,NZD,GDT Price Index,30.29,,-0.024,2003-03-06 10:33:00,NZDJPY,0.0
194190,NZD,CPI q/q,17.86,0.004,0.0,2003-03-06 17:45:00,NZDJPY,0.0
194124,NZD,GDT Price Index,30.29,,-0.024,2003-03-07 10:33:00,NZDJPY,0.0
194102,NZD,CPI q/q,17.86,0.004,0.0,2003-03-07 17:45:00,NZDJPY,2.0
194036,NZD,GDT Price Index,30.29,,-0.024,2003-03-08 10:33:00,NZDJPY,-2.0
194014,NZD,CPI q/q,17.86,0.004,0.0,2003-03-08 17:45:00,NZDJPY,-2.0
193948,NZD,GDT Price Index,30.29,,-0.024,2003-03-09 10:33:00,NZDJPY,-2.0
193926,NZD,CPI q/q,17.86,0.004,0.0,2003-03-09 17:45:00,NZDJPY,-2.0
193860,NZD,GDT Price Index,30.29,,-0.024,2003-03-10 10:33:00,NZDJPY,0.0
193838,NZD,CPI q/q,17.86,0.004,0.0,2003-03-10 17:45:00,NZDJPY,0.0
193770,NZD,GDT Price Index,30.29,,-0.024,2003-03-11 10:33:00,NZDJPY,0.0
193750,NZD,CPI q/q,17.86,0.004,0.0,2003-03-11 17:45:00,NZDJPY,1.0
193684,NZD,GDT Price Index,30.29,,-0.024,2003-03-12 10:33:00,NZDJPY,1.0
193661,NZD,CPI q/q,17.86,0.004,0.0,2003-03-12 17:45:00,NZDJPY,0.0
193594,NZD,GDT Price Index,30.29,,-0.024,2003-03-13 10:33:00,NZDJPY,0.0
193574,NZD,CPI q/q,17.86,0.004,0.0,2003-03-13 17:45:00,NZDJPY,0.0
193508,NZD,GDT Price Index,30.29,,-0.024,2003-03-14 10:33:00,NZDJPY,0.0
193486,NZD,CPI q/q,17.86,0.004,0.0,2003-03-14 17:45:00,NZDJPY,0.0
193418,NZD,GDT Price Index,30.29,,-0.024,2003-03-15 10:33:00,NZDJPY,-2.0
193398,NZD,CPI q/q,17.86,0.004,0.0,2003-03-15 17:45:00,NZDJPY,-2.0
193332,NZD,GDT Price Index,30.29,,-0.024,2003-03-16 10:33:00,NZDJPY,-2.0
193310,NZD,CPI q/q,17.86,0.004,0.0,2003-03-16 17:45:00,NZDJPY,-2.0
193244,NZD,GDT Price Index,30.29,,-0.024,2003-03-17 10:33:00,NZDJPY,0.0
193222,NZD,CPI q/q,17.86,0.004,0.0,2003-03-17 17:45:00,NZDJPY,0.0
193156,NZD,GDT Price Index,30.29,,-0.024,2003-03-18 10:33:00,NZDJPY,0.0
193134,NZD,CPI q/q,17.86,0.004,0.0,2003-03-18 17:45:00,NZDJPY,0.0
193068,NZD,GDT Price Index,30.29,,-0.024,2003-03-19 10:33:00,NZDJPY,0.0
193046,NZD,CPI q/q,17.86,0.004,0.0,2003-03-19 17:45:00,NZDJPY,-2.0
192980,NZD,GDT Price Index,30.29,,-0.024,2003-03-20 10:33:00,NZDJPY,-1.0
192958,NZD,CPI q/q,17.86,0.004,0.0,2003-03-20 17:45:00,NZDJPY,0.0
192891,NZD,GDT Price Index,30.29,,-0.024,2003-03-21 10:33:00,NZDJPY,0.0
192867,NZD,CPI q/q,17.86,0.004,0.0,2003-03-21 17:45:00,NZDJPY,0.0
192804,NZD,GDT Price Index,30.29,,-0.024,2003-03-22 10:33:00,NZDJPY,-2.0
192782,NZD,CPI q/q,17.86,0.004,0.0,2003-03-22 17:45:00,NZDJPY,-2.0
192716,NZD,GDT Price Index,30.29,,-0.024,2003-03-23 10:33:00,NZDJPY,-2.0
192699,NZD,CPI q/q,17.86,0.004,0.0,2003-03-23 17:45:00,NZDJPY,-2.0
192628,NZD,GDT Price Index,30.29,,-0.024,2003-03-24 10:33:00,NZDJPY,0.0
192604,NZD,CPI q/q,17.86,0.004,0.0,2003-03-24 17:45:00,NZDJPY,0.0
192540,NZD,GDT Price Index,30.29,,-0.024,2003-03-25 10:33:00,NZDJPY,0.0
192519,NZD,CPI q/q,17.86,0.004,0.0,2003-03-25 17:45:00,NZDJPY,0.0
192453,NZD,GDT Price Index,30.29,,-0.024,2003-03-26 10:33:00,NZDJPY,0.0
192430,NZD,CPI q/q,17.86,0.004,0.0,2003-03-26 17:45:00,NZDJPY,0.0
192364,NZD,GDT Price Index,30.29,,-0.024,2003-03-27 10:33:00,NZDJPY,0.0
192341,NZD,CPI q/q,17.86,0.004,0.0,2003-03-27 17:45:00,NZDJPY,0.0
192276,NZD,GDT Price Index,30.29,,-0.024,2003-03-28 10:33:00,NZDJPY,0.0
192254,NZD,CPI q/q,17.86,0.004,0.0,2003-03-28 17:45:00,NZDJPY,0.0
192188,NZD,GDT Price Index,30.29,,-0.024,2003-03-29 10:33:00,NZDJPY,-2.0
192166,NZD,CPI q/q,17.86,0.004,0.0,2003-03-29 17:45:00,NZDJPY,-2.0
192102,NZD,GDT Price Index,30.29,,-0.024,2003-03-30 10:33:00,NZDJPY,-2.0
192078,NZD,CPI q/q,17.86,0.004,0.0,2003-03-30 17:45:00,NZDJPY,-2.0
192012,NZD,GDT Price Index,30.29,,-0.024,2003-03-31 10:33:00,NZDJPY,0.0
191994,NZD,CPI q/q,17.86,0.004,0.0,2003-03-31 17:45:00,NZDJPY,0.0
191924,NZD,GDT Price Index,30.29,,-0.024,2003-04-01 10:33:00,NZDJPY,0.0
191902,NZD,CPI q/q,17.86,0.004,0.0,2003-04-01 17:45:00,NZDJPY,0.0
191836,NZD,GDT Price Index,30.29,,-0.024,2003-04-02 10:33:00,NZDJPY,0.0
191814,NZD,CPI q/q,17.86,0.004,0.0,2003-04-02 17:45:00,NZDJPY,0.0
191748,NZD,GDT Price Index,30.29,,-0.024,2003-04-03 10:33:00,NZDJPY,0.0
191726,NZD,CPI q/q,17.86,0.004,0.0,2003-04-03 17:45:00,NZDJPY,0.0
191660,NZD,GDT Price Index,30.29,,-0.024,2003-04-04 10:33:00,NZDJPY,0.0
191638,NZD,CPI q/q,17.86,0.004,0.0,2003-04-04 17:45:00,NZDJPY,0.0
191572,NZD,GDT Price Index,30.29,,-0.024,2003-04-05 10:33:00,NZDJPY,-2.0
191555,NZD,CPI q/q,17.86,0.004,0.0,2003-04-05 17:45:00,NZDJPY,-2.0
191484,NZD,GDT Price Index,30.29,,-0.024,2003-04-06 10:33:00,NZDJPY,-2.0
191462,NZD,CPI q/q,17.86,0.004,0.0,2003-04-06 17:45:00,NZDJPY,-2.0
191398,NZD,GDT Price Index,30.29,,-0.024,2003-04-07 10:33:00,NZDJPY,0.0
191374,NZD,CPI q/q,17.86,0.004,0.0,2003-04-07 17:45:00,NZDJPY,0.0
191308,NZD,GDT Price Index,30.29,,-0.024,2003-04-08 10:33:00,NZDJPY,0.0
191286,NZD,CPI q/q,17.86,0.004,0.0,2003-04-08 17:45:00,NZDJPY,0.0
191220,NZD,GDT Price Index,30.29,,-0.024,2003-04-09 10:33:00,NZDJPY,0.0
191198,NZD,CPI q/q,17.86,0.004,0.0,2003-04-09 17:45:00,NZDJPY,0.0
191132,NZD,GDT Price Index,30.29,,-0.024,2003-04-10 10:33:00,NZDJPY,0.0
191110,NZD,CPI q/q,17.86,0.004,0.0,2003-04-10 17:45:00,NZDJPY,0.0
191044,NZD,GDT Price Index,30.29,,-0.024,2003-04-11 10:33:00,NZDJPY,0.0
191022,NZD,CPI q/q,17.86,0.004,0.0,2003-04-11 17:45:00,NZDJPY,0.0
190956,NZD,GDT Price Index,30.29,,-0.024,2003-04-12 10:33:00,NZDJPY,-2.0
190934,NZD,CPI q/q,17.86,0.004,0.0,2003-04-12 17:45:00,NZDJPY,-2.0
190868,NZD,GDT Price Index,30.29,,-0.024,2003-04-13 10:33:00,NZDJPY,-2.0
190853,NZD,CPI q/q,17.86,0.004,0.0,2003-04-13 17:45:00,NZDJPY,-2.0
190780,NZD,GDT Price Index,30.29,,-0.024,2003-04-14 10:33:00,NZDJPY,0.0
190755,NZD,CPI q/q,17.86,0.004,0.0,2003-04-14 17:45:00,NZDJPY,0.0
190692,NZD,GDT Price Index,30.29,,-0.024,2003-04-15 10:33:00,NZDJPY,0.0
190670,NZD,CPI q/q,17.86,0.004,0.0,2003-04-15 17:45:00,NZDJPY,-1.0
190604,NZD,GDT Price Index,30.29,,-0.024,2003-04-16 10:33:00,NZDJPY,0.0
190582,NZD,CPI q/q,17.86,0.004,0.0,2003-04-16 17:45:00,NZDJPY,0.0
190516,NZD,GDT Price Index,30.29,,-0.024,2003-04-17 10:33:00,NZDJPY,0.0
190494,NZD,CPI q/q,17.86,0.004,0.0,2003-04-17 17:45:00,NZDJPY,0.0
190428,NZD,GDT Price Index,30.29,,-0.024,2003-04-18 10:33:00,NZDJPY,0.0
190411,NZD,CPI q/q,17.86,0.004,0.0,2003-04-18 17:45:00,NZDJPY,0.0
190340,NZD,GDT Price Index,30.29,,-0.024,2003-04-19 10:33:00,NZDJPY,-2.0
190318,NZD,CPI q/q,17.86,0.004,0.0,2003-04-19 17:45:00,NZDJPY,-2.0
190252,NZD,GDT Price Index,30.29,,-0.024,2003-04-20 10:33:00,NZDJPY,-2.0
190230,NZD,CPI q/q,17.86,0.004,0.0,2003-04-20 17:45:00,NZDJPY,-2.0
190165,NZD,GDT Price Index,30.29,,-0.024,2003-04-21 10:33:00,NZDJPY,0.0
190142,NZD,CPI q/q,17.86,0.004,0.0,2003-04-21 17:45:00,NZDJPY,0.0
190076,NZD,GDT Price Index,30.29,,-0.024,2003-04-22 10:33:00,NZDJPY,0.0
190054,NZD,CPI q/q,17.86,0.004,0.0,2003-04-22 17:45:00,NZDJPY,0.0
189988,NZD,GDT Price Index,30.29,,-0.024,2003-04-23 10:33:00,NZDJPY,0.0
189966,NZD,CPI q/q,17.86,0.004,0.0,2003-04-23 17:45:00,NZDJPY,0.0
189900,NZD,GDT Price Index,30.29,,-0.024,2003-04-24 10:33:00,NZDJPY,0.0
189878,NZD,CPI q/q,17.86,0.004,0.0,2003-04-24 17:45:00,NZDJPY,0.0
189812,NZD,GDT Price Index,30.29,,-0.024,2003-04-25 10:33:00,NZDJPY,0.0
189790,NZD,CPI q/q,17.86,0.004,0.0,2003-04-25 17:45:00,NZDJPY,0.0
189726,NZD,GDT Price Index,30.29,,-0.024,2003-04-26 10:33:00,NZDJPY,-2.0
189708,NZD,CPI q/q,17.86,0.004,0.0,2003-04-26 17:45:00,NZDJPY,-2.0
189636,NZD,GDT Price Index,30.29,,-0.024,2003-04-27 10:33:00,NZDJPY,-2.0
189614,NZD,CPI q/q,17.86,0.004,0.0,2003-04-27 17:45:00,NZDJPY,-2.0
189548,NZD,GDT Price Index,30.29,,-0.024,2003-04-28 10:33:00,NZDJPY,0.0
189526,NZD,CPI q/q,17.86,0.004,0.0,2003-04-28 17:45:00,NZDJPY,0.0
189459,NZD,GDT Price Index,30.29,,-0.024,2003-04-29 10:33:00,NZDJPY,0.0
189438,NZD,CPI q/q,17.86,0.004,0.0,2003-04-29 17:45:00,NZDJPY,0.0
189372,NZD,GDT Price Index,30.29,,-0.024,2003-04-30 10:33:00,NZDJPY,0.0
189350,NZD,CPI q/q,17.86,0.004,0.0,2003-04-30 17:45:00,NZDJPY,0.0
189284,NZD,GDT Price Index,30.29,,-0.024,2003-05-01 10:33:00,NZDJPY,0.0
189268,NZD,CPI q/q,17.86,0.004,0.0,2003-05-01 17:45:00,NZDJPY,0.0
189196,NZD,GDT Price Index,30.29,,-0.024,2003-05-02 10:33:00,NZDJPY,0.0
189181,NZD,CPI q/q,17.86,0.004,0.0,2003-05-02 17:45:00,NZDJPY,0.0
189108,NZD,GDT Price Index,30.29,,-0.024,2003-05-03 10:33:00,NZDJPY,-2.0
189086,NZD,CPI q/q,17.86,0.004,0.0,2003-05-03 17:45:00,NZDJPY,-2.0
189020,NZD,GDT Price Index,30.29,,-0.024,2003-05-04 10:33:00,NZDJPY,-2.0
188998,NZD,CPI q/q,17.86,0.004,0.0,2003-05-04 17:45:00,NZDJPY,-2.0
188932,NZD,GDT Price Index,30.29,,-0.024,2003-05-05 10:33:00,NZDJPY,0.0
188910,NZD,CPI q/q,17.86,0.004,0.0,2003-05-05 17:45:00,NZDJPY,0.0
188844,NZD,GDT Price Index,30.29,,-0.024,2003-05-06 10:33:00,NZDJPY,0.0
188822,NZD,CPI q/q,17.86,0.004,0.0,2003-05-06 17:45:00,NZDJPY,0.0
188756,NZD,GDT Price Index,30.29,,-0.024,2003-05-07 10:33:00,NZDJPY,0.0
188734,NZD,CPI q/q,17.86,0.004,0.0,2003-05-07 17:45:00,NZDJPY,1.0
188668,NZD,GDT Price Index,30.29,,-0.024,2003-05-08 10:33:00,NZDJPY,0.0
188646,NZD,CPI q/q,17.86,0.004,0.0,2003-05-08 17:45:00,NZDJPY,-1.0
188580,NZD,GDT Price Index,30.29,,-0.024,2003-05-09 10:33:00,NZDJPY,0.0
188565,NZD,CPI q/q,17.86,0.004,0.0,2003-05-09 17:45:00,NZDJPY,0.0
188492,NZD,GDT Price Index,30.29,,-0.024,2003-05-10 10:33:00,NZDJPY,-2.0
188477,NZD,CPI q/q,17.86,0.004,0.0,2003-05-10 17:45:00,NZDJPY,-2.0
188404,NZD,GDT Price Index,30.29,,-0.024,2003-05-11 10:33:00,NZDJPY,-2.0
188382,NZD,CPI q/q,17.86,0.004,0.0,2003-05-11 17:45:00,NZDJPY,-2.0
188316,NZD,GDT Price Index,30.29,,-0.024,2003-05-12 10:33:00,NZDJPY,0.0
188294,NZD,CPI q/q,17.86,0.004,0.0,2003-05-12 17:45:00,NZDJPY,0.0
188228,NZD,GDT Price Index,30.29,,-0.024,2003-05-13 10:33:00,NZDJPY,0.0
188206,NZD,CPI q/q,17.86,0.004,0.0,2003-05-13 17:45:00,NZDJPY,0.0
188140,NZD,GDT Price Index,30.29,,-0.024,2003-05-14 10:33:00,NZDJPY,0.0
188118,NZD,CPI q/q,17.86,0.004,0.0,2003-05-14 17:45:00,NZDJPY,0.0
188052,NZD,GDT Price Index,30.29,,-0.024,2003-05-15 10:33:00,NZDJPY,0.0
188030,NZD,CPI q/q,17.86,0.004,0.0,2003-05-15 17:45:00,NZDJPY,0.0
187964,NZD,GDT Price Index,30.29,,-0.024,2003-05-16 10:33:00,NZDJPY,0.0
187942,NZD,CPI q/q,17.86,0.004,0.0,2003-05-16 17:45:00,NZDJPY,-1.0
187877,NZD,GDT Price Index,30.29,,-0.024,2003-05-17 10:33:00,NZDJPY,-2.0
187854,NZD,CPI q/q,17.86,0.004,0.0,2003-05-17 17:45:00,NZDJPY,-2.0
187788,NZD,GDT Price Index,30.29,,-0.024,2003-05-18 10:33:00,NZDJPY,-2.0
187766,NZD,CPI q/q,17.86,0.004,0.0,2003-05-18 17:45:00,NZDJPY,-2.0
187700,NZD,GDT Price Index,30.29,,-0.024,2003-05-19 10:33:00,NZDJPY,0.0
187678,NZD,CPI q/q,17.86,0.004,0.0,2003-05-19 17:45:00,NZDJPY,-1.0
187612,NZD,GDT Price Index,30.29,,-0.024,2003-05-20 10:33:00,NZDJPY,0.0
187590,NZD,CPI q/q,17.86,0.004,0.0,2003-05-20 17:45:00,NZDJPY,0.0
187524,NZD,GDT Price Index,30.29,,-0.024,2003-05-21 10:33:00,NZDJPY,0.0
