,symbol,title,actual,forecast,previous,datetime,preceding_price
71274,CAD,Ivey PMI,45.01,50.5,52.8,2007-01-05 11:00:00,0.0
71176,CAD,Overnight Rate,94.12,0.0425,0.0425,2007-01-16 10:00:00,0.0
71082,EUR,Belgian NBB Business Climate,91.18,2.6,2.5,2007-01-24 10:00:00,0.0
68488,CAD,Ivey PMI,47.71,55.2,53.8,2007-03-05 11:00:00,0.0
68472,CAD,Overnight Rate,94.12,0.0425,0.0425,2007-03-06 10:00:00,0.0
68274,EUR,Belgian NBB Business Climate,93.85,2.9,3.5,2007-03-22 10:00:00,0.0
68131,CAD,Ivey PMI,65.77,61.0,60.5,2007-04-05 10:00:00,0.0
67809,CAD,Ivey PMI,84.1,57.5,67.3,2007-05-04 10:00:00,0.0
67435,CAD,Ivey PMI,66.85,65.0,60.9,2007-06-06 10:00:00,0.0
67108,CAD,Ivey PMI,71.7,61.5,62.7,2007-07-05 10:00:00,0.0
66806,CAD,Ivey PMI,84.37,58.0,67.4,2007-08-03 10:00:00,0.0
66473,CAD,Ivey PMI,49.87,56.9,54.6,2007-09-06 10:00:00,0.0
66130,CAD,Ivey PMI,60.38,60.0,58.5,2007-10-04 10:00:00,0.0
65914,EUR,Belgian NBB Business Climate,88.5,1.3,1.5,2007-10-24 10:00:00,0.0
65772,CAD,Ivey PMI,53.64,55.0,56.0,2007-11-06 11:00:00,0.0
65575,EUR,Belgian NBB Business Climate,84.22,-1.0,-0.1,2007-11-22 10:00:00,0.0
65449,CAD,Overnight Rate,100.0,0.045,0.045,2007-12-04 10:00:00,0.0
65417,CAD,Ivey PMI,56.6,55.0,57.1,2007-12-06 11:00:00,0.0
65233,EUR,Belgian NBB Business Climate,88.24,0.7,1.4,2007-12-20 10:00:00,0.0
65102,CAD,Ivey PMI,60.92,51.5,58.7,2008-01-04 11:00:00,0.0
64917,CAD,Overnight Rate,94.12,0.04,0.0425,2008-01-22 10:00:00,0.0
64869,EUR,Belgian NBB Business Climate,79.41,-2.5,-1.9,2008-01-24 10:00:00,1.0
62206,CAD,Overnight Rate,88.24,0.0375,0.04,2008-03-04 10:00:00,0.0
62169,CAD,Ivey PMI,54.18,55.0,56.2,2008-03-06 11:00:00,0.0
61938,EUR,Belgian NBB Business Climate,85.03,-0.8,0.2,2008-03-26 10:00:00,0.0
61809,CAD,Ivey PMI,69.81,62.5,62.0,2008-04-04 10:00:00,0.0
61449,CAD,Ivey PMI,61.73,54.5,59.0,2008-05-06 10:00:00,0.0
61066,CAD,Ivey PMI,57.95,58.8,57.6,2008-06-05 10:00:00,0.0
60705,CAD,Ivey PMI,71.16,62.2,62.5,2008-07-04 10:00:00,0.0
60354,CAD,Ivey PMI,90.3,62.0,69.6,2008-08-06 10:00:00,0.0
60023,CAD,Ivey PMI,79.25,61.7,65.5,2008-09-05 10:00:00,0.0
59645,CAD,Ivey PMI,41.51,51.0,51.5,2008-10-06 10:00:00,0.0
59255,CAD,Ivey PMI,67.12,56.0,61.0,2008-11-06 11:04:00,0.0
59024,EUR,Belgian NBB Business Climate,44.92,-17.5,-14.8,2008-11-24 10:00:00,0.0
58866,CAD,Ivey PMI,43.4,50.0,52.2,2008-12-04 11:00:00,0.0
58812,CAD,Overnight Rate,47.06,0.0175,0.0225,2008-12-09 10:00:00,0.0
58648,EUR,Belgian NBB Business Climate,21.12,-26.5,-23.7,2008-12-22 10:00:00,-1.0
58482,CAD,Ivey PMI,11.05,37.5,40.2,2009-01-08 11:00:00,0.0
58345,CAD,Overnight Rate,29.41,0.01,0.015,2009-01-20 10:00:00,1.0
58290,EUR,Belgian NBB Business Climate,0.8,-33.0,-31.3,2009-01-23 10:00:00,1.0
55683,CAD,Overnight Rate,17.65,0.005,0.01,2009-03-03 10:00:00,0.0
55648,CAD,Ivey PMI,0.0,37.5,36.1,2009-03-05 11:00:00,0.0
55415,EUR,Belgian NBB Business Climate,0.0,-31.9,-31.6,2009-03-24 10:00:00,0.0
