,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Net Income,444550000,356973000,1520992000,390513000
Depreciation,1204181000,1073318000,1001298000,954186000
Adjustments To Net Income,164289000,214977000,983736000,116163000
Changes In Accounts Receivables,60859000,58664000,12668000,77116000
Changes In Liabilities,141455000,206598000,320593000,409644000
Changes In Inventories,,,,
Changes In Other Operating Activities,19484000,25271000,112216000,208114000
Total Cash Flow From Operating Activities,2044186000,1782264000,1796725000,1666130000
Capital Expenditures,1228071000,873883000,908892000,758535000
Investments,,,,
Other Cash flows from Investing Activities,5815000,133655000,1154914000,22719000
Total Cash Flows From Investing Activities,10494021000,1297082000,856157000,1242905000
Dividends Paid,1538640000,1283146000,1160432000,668651000
Sale Purchase of Stock,4221329000,1325865000,1325865000,1325865000
Net Borrowings,3953443000,64611000,257797000,213425000
Other Cash Flows from Financing Activities,25432000,49464000,3184000,14111000
Total Cash Flows From Financing Activities,8195152000,96292000,935476000,462987000
Effect Of Exchange Rate Changes,1178000,101000,1902000,8012000
Change In Cash and Cash Equivalents,253505000,388789000,3190000,47774000
Cash And Cash Equivalents,314094000,567599000,178810000,151312000
Short Term Investments,,,,
Net Receivables,483585000,440732000,344396000,313308000
Inventory,,,,
Other Current Assets,336101000,316430000,458039000,818376000
Total Current Assets,1133780000,1324761000,981245000,1282996000
Long Term Investments,,,,
Property Plant and Equipment,12932885000,9805315000,9580057000,8982783000
Goodwill,10021468000,5757676000,5513551000,5196485000
Intangible Assets,5961759000,3650072000,3779915000,3681551000
Accumulated Amortization,,,,
Other Assets,2179678000,2137268000,2082198000,1999461000
Deferred Long Term Asset Charges,26402000,44097000,49476000,
Total Assets,32229570000,22675092000,21936966000,21143276000
Accounts Payable,248817000,188516000,159629000,162397000
Short/Current Long Term Debt,16159620000,12171142000,12149959000,11920861000
Other Current Liabilities,457116000,353005000,322623000,407375000
Total Current Liabilities,1292082000,961355000,855369000,932131000
Long Term Debt,16044369000,12069393000,12043740000,11807526000
Other Liabilities,2554037000,2087229000,1948636000,1666391000
Deferred Long Term Liability Charges,,,,
Minority Interest,,,,21003000
Negative Goodwill,,,,
Total Liabilities,19890488000,15117977000,14847745000,14406048000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,4063000,3605000,3338000,3339000
Retained Earnings,,,,
Treasury Stock,4508605000,3384726000,2462795000,2799608000
Capital Surplus,16843607000,10938236000,9548580000,9512396000
Other Stockholder Equity,4508605000,3384726000,2462795000,2799608000
Total Stockholder Equity,12339065000,7557115000,7089123000,6716127000
Net Tangible Assets,3644162000,1850633000,2204343000,2161909000
Total Revenue,4355605000,3921225000,3663851000,3538756000
Cost of Revenue,1563701000,1440521000,1321426000,1306606000
Gross Profit,2791904000,2480704000,2342425000,2232150000
Research Development,,,,
Selling General and Administrative,426698000,371031000,310921000,257296000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,3232807000,2920103000,2668525000,2549683000
Operating Income or Loss,1122798000,1001122000,995326000,989073000
Total Other Income/Expenses Net,652205000,627268000,521497000,654003000
Earnings Before Interest and Taxes,1122798000,1001122000,995326000,989073000
Interest Expense,590682000,515032000,527128000,573291000
Income Before Tax,470593000,373854000,473829000,335070000
Income Tax Expense,26043000,16881000,51457000,11244000
Minority Interest,,,,21003000
Net Income From Continuing Ops,444550000,356973000,525286000,346314000
Discontinued Operations,,,999049000,52460000
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,444550000,356973000,1520992000,390513000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,386256000,323982000,1477004000,346525000
