,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Net Income,1505000000,1687000000,2072000000,5438000000
Depreciation,3837000000,4094000000,4078000000,4094000000
Adjustments To Net Income,4014000000,4100000000,2698000000,2251000000
Changes In Accounts Receivables,124000000,1098000000,2176000000,187000000
Changes In Liabilities,737000000,1680000000,2656000000,36000000
Changes In Inventories,108000000,800000000,625000000,36000000
Changes In Other Operating Activities,34000000,354000000,278000000,409000000
Total Cash Flow From Operating Activities,5663000000,6261000000,8572000000,11219000000
Capital Expenditures,3716000000,3086000000,3363000000,4716000000
Investments,3277000000,5544000000,5848000000,446000000
Other Cash flows from Investing Activities,217000000,54000000,112000000,19000000
Total Cash Flows From Investing Activities,1779000000,624000000,10252000000,5580000000
Dividends Paid,2778000000,2647000000,2419000000,1968000000
Sale Purchase of Stock,297000000,415000000,448000000,825000000
Net Borrowings,1612000000,2377000000,5791000000,37000000
Other Cash Flows from Financing Activities,29000000,41000000,264000000,38000000
Total Cash Flows From Financing Activities,5033000000,5428000000,1374000000,5896000000
Effect Of Exchange Rate Changes,19000000,73000000,31000000,85000000
Change In Cash and Cash Equivalents,1130000000,136000000,337000000,342000000
Cash And Cash Equivalents,1799000000,2929000000,2793000000,3130000000
Short Term Investments,3290000000,6328000000,10241000000,4371000000
Net Receivables,8084000000,9387000000,8780000000,11171000000
Inventory,4046000000,4225000000,3756000000,4628000000
Other Current Assets,1278000000,1058000000,1342000000,1394000000
Total Current Assets,18497000000,23927000000,26912000000,24694000000
Long Term Investments,1654000000,1481000000,3729000000,3677000000
Property Plant and Equipment,11576000000,12821000000,13415000000,15396000000
Goodwill,25118000000,24990000000,15605000000,15487000000
Intangible Assets,14146000000,13386000000,7424000000,6858000000
Accumulated Amortization,,,,
Other Assets,996000000,1351000000,920000000,792000000
Deferred Long Term Asset Charges,,,,
Total Assets,71987000000,77956000000,68005000000,66904000000
Accounts Payable,4614000000,4004000000,3243000000,4344000000
Short/Current Long Term Debt,18199000000,19616000000,19021000000,13372000000
Other Current Liabilities,6048000000,6553000000,4897000000,5168000000
Total Current Liabilities,15282000000,15059000000,14121000000,14176000000
Long Term Debt,14875000000,16463000000,14464000000,10607000000
Other Liabilities,4569000000,4905000000,3515000000,4072000000
Deferred Long Term Liability Charges,,,,
Minority Interest,419000000,451000000,272000000,199000000
Negative Goodwill,,,,
Total Liabilities,34726000000,36427000000,32100000000,28855000000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,12975000000,12801000000,12693000000,12495000000
Retained Earnings,32190000000,36470000000,40870000000,41333000000
Treasury Stock,8323000000,8193000000,17930000000,15978000000
Capital Surplus,,,,
Other Stockholder Equity,4274000000,4643000000,4558000000,4206000000
Total Stockholder Equity,36842000000,41078000000,35633000000,37850000000
Net Tangible Assets,2422000000,2702000000,12604000000,15505000000
Total Revenue,30440000000,27810000000,35475000000,48580000000
Cost of Revenue,26298000000,24110000000,28321000000,37398000000
Gross Profit,4142000000,3700000000,7154000000,11182000000
Research Development,787000000,1012000000,1094000000,1217000000
Selling General and Administrative,432000000,403000000,494000000,475000000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,27517000000,25525000000,29909000000,39090000000
Operating Income or Loss,2923000000,2285000000,5566000000,9490000000
Total Other Income/Expenses Net,4106000000,4190000000,2685000000,1851000000
Earnings Before Interest and Taxes,2923000000,2285000000,5566000000,9490000000
Interest Expense,566000000,570000000,346000000,369000000
Income Before Tax,1183000000,1905000000,2881000000,7639000000
Income Tax Expense,330000000,278000000,746000000,1928000000
Minority Interest,419000000,451000000,272000000,199000000
Net Income From Continuing Ops,1513000000,1627000000,2135000000,5711000000
Discontinued Operations,,,,205000000
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,1505000000,1687000000,2072000000,5438000000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,1505000000,1687000000,2072000000,5438000000
