,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Cash And Cash Equivalents,186107000,169777000,155209000,209665000
Short Term Investments,33758000,29117000,,
Net Receivables,32190000,30049000,41349000,34880000
Inventory,54555000,50023000,45542000,47473000
Other Current Assets,13715000,12125000,27433000,24341000
Total Current Assets,320325000,291091000,269533000,316359000
Long Term Investments,7561000,5002000,1515000,4920000
Property Plant and Equipment,2020021000,2032685000,1896811000,1831564000
Goodwill,,,,
Intangible Assets,,,,
Accumulated Amortization,,,,
Other Assets,17050000,42899000,54066000,109221000
Deferred Long Term Asset Charges,1509000,35815000,36589000,98923000
Total Assets,2364957000,2371677000,2221925000,2262064000
Accounts Payable,46549000,60064000,51277000,41869000
Short/Current Long Term Debt,514030000,512940000,520496000,521620000
Other Current Liabilities,22969000,17778000,36788000,11669000
Total Current Liabilities,112130000,126225000,127084000,90985000
Long Term Debt,502229000,500979000,500199000,498479000
Other Liabilities,260523000,258791000,246875000,261976000
Deferred Long Term Liability Charges,,,,
Minority Interest,,,,
Negative Goodwill,,,,
Total Liabilities,881075000,891833000,882999000,865090000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,100926000,99806000,95219000,92382000
Retained Earnings,195484000,167437000,232565000,141306000
Treasury Stock,41415000,49776000,43365000,40891000
Capital Surplus,1619816000,1597212000,1519598000,1486750000
Other Stockholder Equity,23373000,34602000,32631000,32031000
Total Stockholder Equity,1483843000,1479805000,1338887000,1396935000
Net Tangible Assets,1483843000,1479805000,1338887000,1396935000
Total Revenue,577775000,645957000,443567000,500781000
Cost of Revenue,304727000,338325000,292378000,304446000
Gross Profit,273048000,307632000,151189000,196335000
Research Development,3276000,243000,243000,243000
Selling General and Administrative,35611000,45040000,34201000,31538000
Non Recurring,,,,
Others,23763000,1270000,5075000,6839000
Total Operating Expenses,512397000,516321000,456140000,459946000
Operating Income or Loss,65378000,129636000,12573000,40835000
Total Other Income/Expenses Net,69018000,32661000,18085000,28251000
Earnings Before Interest and Taxes,65378000,129636000,12573000,40835000
Interest Expense,38012000,21796000,25389000,26775000
Income Before Tax,3640000,96975000,30658000,12584000
Income Tax Expense,19879000,27428000,56310000,5240000
Minority Interest,,,,
Net Income From Continuing Ops,23519000,69547000,86968000,17824000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,23519000,69547000,86968000,17824000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,24071000,68995000,87520000,17272000
Net Income,23519000,69547000,86968000,17824000
Depreciation,121930000,117413000,112585000,112173000
Adjustments To Net Income,55135000,13979000,69383000,2048000
Changes In Accounts Receivables,2414000,4233000,6834000,3091000
Changes In Liabilities,16434000,6539000,4211000,19697000
Changes In Inventories,3744000,5697000,854000,1119000
Changes In Other Operating Activities,14706000,30258000,16870000,32005000
Total Cash Flow From Operating Activities,115878000,225328000,106445000,83124000
Capital Expenditures,98038000,164788000,137443000,122537000
Investments,6644000,30294000,933000,580000
Other Cash flows from Investing Activities,8913000,8913000,8913000,4334000
Total Cash Flows From Investing Activities,95395000,198665000,138606000,118355000
Dividends Paid,4528000,4419000,4291000,4099000
Sale Purchase of Stock,9610000,8121000,8121000,54418000
Net Borrowings,6986000,11156000,10851000,9137000
Other Cash Flows from Financing Activities,476000,127000,127000,938000
Total Cash Flows From Financing Activities,5248000,12021000,17143000,36504000
Effect Of Exchange Rate Changes,1095000,74000,5152000,3783000
Change In Cash and Cash Equivalents,16330000,14568000,54456000,2510000
