,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Cash And Cash Equivalents,1072000000,816000000,474000000,490000000
Short Term Investments,,,,
Net Receivables,1365000000,1283000000,1786000000,1597000000
Inventory,,,,67000000
Other Current Assets,432000000,391000000,3756000000,577000000
Total Current Assets,3556000000,3020000000,6979000000,3378000000
Long Term Investments,,45000000,,264000000
Property Plant and Equipment,840000000,858000000,977000000,1322000000
Goodwill,1084000000,1081000000,1261000000,1359000000
Intangible Assets,3242000000,3332000000,3522000000,4009000000
Accumulated Amortization,,,,
Other Assets,11336000000,10819000000,10775000000,13653000000
Deferred Long Term Asset Charges,,,,
Total Assets,20058000000,19155000000,23514000000,23985000000
Accounts Payable,946000000,821000000,766000000,1008000000
Short/Current Long Term Debt,14865000000,13543000000,15779000000,16018000000
Other Current Liabilities,160000000,186000000,1363000000,136000000
Total Current Liabilities,2026000000,4959000000,4900000000,3127000000
Long Term Debt,14865000000,3895000000,5947000000,6431000000
Other Liabilities,1647000000,2556000000,2562000000,3238000000
Deferred Long Term Liability Charges,,,,
Minority Interest,,,,
Negative Goodwill,,,,
Total Liabilities,18538000000,18080000000,21495000000,21521000000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,1000000,1000000,4000000,5000000
Retained Earnings,506000000,882000000,391000000,664000000
Treasury Stock,218000000,271000000,937000000,202000000
Capital Surplus,2243000000,2227000000,3343000000,3325000000
Other Stockholder Equity,118000000,171000000,245000000,115000000
Total Stockholder Equity,1520000000,1075000000,2019000000,2464000000
Net Tangible Assets,2806000000,3338000000,2764000000,2904000000
Total Revenue,8803000000,8803000000,9017000000,9475000000
Cost of Revenue,7756000000,7427000000,7414000000,8053000000
Gross Profit,1047000000,1376000000,1603000000,1422000000
Research Development,,,,
Selling General and Administrative,880000000,943000000,934000000,973000000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,8636000000,8370000000,8348000000,9026000000
Operating Income or Loss,167000000,433000000,669000000,449000000
Total Other Income/Expenses Net,742000000,903000000,537000000,680000000
Earnings Before Interest and Taxes,167000000,433000000,669000000,449000000
Interest Expense,637000000,624000000,599000000,617000000
Income Before Tax,575000000,470000000,132000000,231000000
Income Tax Expense,902000000,4000000,17000000,17000000
Minority Interest,,,,
Net Income From Continuing Ops,327000000,474000000,115000000,214000000
Discontinued Operations,,17000000,158000000,132000000
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,327000000,491000000,273000000,82000000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,327000000,491000000,273000000,82000000
Net Income,327000000,491000000,273000000,82000000
Depreciation,240000000,265000000,274000000,291000000
Adjustments To Net Income,751000000,322000000,165000000,79000000
Changes In Accounts Receivables,75000000,174000000,62000000,42000000
Changes In Liabilities,20000000,31000000,8000000,54000000
Changes In Inventories,,,,
Changes In Other Operating Activities,112000000,41000000,70000000,146000000
Total Cash Flow From Operating Activities,2394000000,2529000000,2776000000,2941000000
Capital Expenditures,3116000000,2327000000,2840000000,2978000000
Investments,16000000,222000000,236000000,30000000
Other Cash flows from Investing Activities,147000000,52000000,212000000,249000000
Total Cash Flows From Investing Activities,3147000000,1996000000,2380000000,2756000000
Dividends Paid,,,,
Sale Purchase of Stock,,,,
Net Borrowings,1052000000,2115000000,204000000,90000000
Other Cash Flows from Financing Activities,64000000,2032000000,33000000,13000000
Total Cash Flows From Financing Activities,988000000,183000000,368000000,77000000
Effect Of Exchange Rate Changes,21000000,8000000,28000000,30000000
Change In Cash and Cash Equivalents,256000000,342000000,342000000,78000000
