,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Cash And Cash Equivalents,606199000,842942000,553326000,485702000
Short Term Investments,1469042000,985674000,873827000,1048827000
Net Receivables,3319199000,2856355000,2515244000,2336057000
Inventory,,,,
Other Current Assets,2653276000,2268622000,1981126000,1913629000
Total Current Assets,8974327000,7813160000,6351132000,6161293000
Long Term Investments,19894355000,16780613000,13465236000,13143401000
Property Plant and Equipment,,,,
Goodwill,,204022000,15536000,14946000
Intangible Assets,1188435000,1025091000,464824000,509118000
Accumulated Amortization,,,,
Other Assets,1994541000,3549223000,2842203000,2177323000
Deferred Long Term Asset Charges,,,,
Total Assets,32051658000,29372109000,23138931000,22006081000
Accounts Payable,323496000,3502783000,224120000,219312000
Short/Current Long Term Debt,3025621000,3251462000,1715584000,941670000
Other Current Liabilities,3622314000,3467114000,2376378000,2236975000
Total Current Liabilities,4422415000,7732451000,2994342000,2506816000
Long Term Debt,2549016000,2488908000,1321740000,891141000
Other Liabilities,14834292000,9839625000,11712294000,11489478000
Deferred Long Term Liability Charges,,,,
Minority Interest,1049333000,1057407000,944013000,988593000
Negative Goodwill,,,,
Total Liabilities,21805723000,20060984000,16028376000,14887435000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,611000,582000,577000,572000
Retained Earnings,8562889000,7996701000,7332032000,6854571000
Treasury Stock,1959697000,2149111000,1958406000,1433163000
Capital Surplus,1230617000,531687000,467339000,383073000
Other Stockholder Equity,118044000,114541000,16502000,128856000
Total Stockholder Equity,7834420000,6379859000,5841542000,5805053000
Net Tangible Assets,7181809000,5598306000,5744011000,5695514000
Total Revenue,5627375000,4463556000,3936590000,3988873000
Cost of Revenue,3742904000,2863632000,2732379000,2576512000
Gross Profit,1884471000,1599924000,1204211000,1412361000
Research Development,,,,
Selling General and Administrative,83752000,49396000,49745000,49944000
Non Recurring,,,,
Others,684451000,633025000,607516000,556280000
Total Operating Expenses,4636885000,3546053000,3389640000,3182736000
Operating Income or Loss,990490000,917503000,546950000,806137000
Total Other Income/Expenses Net,233213000,61951000,20244000,38110000
Earnings Before Interest and Taxes,990490000,917503000,546950000,806137000
Interest Expense,117431000,66252000,45874000,45634000
Income Before Tax,757277000,855552000,567194000,844247000
Income Tax Expense,127568000,31374000,40612000,22987000
Minority Interest,1049333000,1057407000,944013000,988593000
Net Income From Continuing Ops,629709000,824178000,526582000,821260000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,619278000,692738000,537738000,834355000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,566502000,664668000,515800000,812417000
Net Income,619278000,692738000,537738000,834355000
Depreciation,125778000,19335000,22968000,22968000
Adjustments To Net Income,168690000,26265000,195906000,42327000
Changes In Accounts Receivables,31405000,71613000,26783000,217035000
Changes In Liabilities,116841000,146569000,83626000,298190000
Changes In Inventories,,,,
Changes In Other Operating Activities,450815000,583350000,184451000,163947000
Total Cash Flow From Operating Activities,1112617000,1396644000,997906000,1037130000
Capital Expenditures,22841000,15303000,15736000,19883000
Investments,1403893000,495299000,850246000,1340274000
Other Cash flows from Investing Activities,94447000,218221000,48711000,91842000
Total Cash Flows From Investing Activities,1359996000,2721543000,913875000,1505421000
Dividends Paid,46041000,28070000,21938000,21938000
Sale Purchase of Stock,,,4861000,6827000
Net Borrowings,56415000,1167570000,431362000,431362000
Other Cash Flows from Financing Activities,103473000,136526000,53558000,1009191000
Total Cash Flows From Financing Activities,3405000,1635669000,4656000,539943000
Effect Of Exchange Rate Changes,14041000,21154000,11751000,20007000
Change In Cash and Cash Equivalents,236743000,289616000,67624000,51645000
