,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Cash And Cash Equivalents,41900000,65700000,153900000,62500000
Short Term Investments,,,,
Net Receivables,320100000,341600000,379400000,385800000
Inventory,183000000,196500000,199200000,217200000
Other Current Assets,3800000,7400000,13700000,11500000
Total Current Assets,607400000,667700000,809100000,722000000
Long Term Investments,21500000,15500000,13600000,12900000
Property Plant and Equipment,435100000,422200000,361700000,355600000
Goodwill,733100000,722500000,709400000,736500000
Intangible Assets,667400000,678700000,695400000,727100000
Accumulated Amortization,,,,
Other Assets,229500000,192200000,66300000,28600000
Deferred Long Term Asset Charges,23600000,22500000,12200000,10700000
Total Assets,2694000000,2698800000,2655500000,2582700000
Accounts Payable,241200000,235000000,266300000,226400000
Short/Current Long Term Debt,1753100000,1888100000,1454800000,1564700000
Other Current Liabilities,149800000,124500000,132900000,120900000
Total Current Liabilities,576900000,561100000,713000000,538100000
Long Term Debt,1680700000,1817800000,1273300000,1498300000
Other Liabilities,321700000,354200000,366600000,331000000
Deferred Long Term Liability Charges,,,,
Minority Interest,2200000,10600000,12400000,12600000
Negative Goodwill,,,,
Total Liabilities,2579300000,2733100000,2352900000,2367400000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,1000000,1000000,1000000,1000000
Retained Earnings,1416200000,1264800000,1110300000,1036800000
Treasury Stock,1812700000,1803500000,1284500000,1247000000
Capital Surplus,508000000,492800000,463400000,411900000
Other Stockholder Equity,75500000,103500000,110100000,55700000
Total Stockholder Equity,112500000,44900000,290200000,202700000
Net Tangible Assets,1288000000,1446100000,1114600000,1260900000
Total Revenue,2754400000,3128900000,3154600000,2989800000
Cost of Revenue,1602200000,1821400000,1905400000,1839400000
Gross Profit,1152200000,1307500000,1249200000,1150400000
Research Development,,,,
Selling General and Administrative,874300000,929900000,972900000,900500000
Non Recurring,,,,
Others,20800000,19500000,18300000,18100000
Total Operating Expenses,2455700000,2731800000,2860000000,2721800000
Operating Income or Loss,298700000,397100000,294600000,268000000
Total Other Income/Expenses Net,110300000,125300000,103500000,93100000
Earnings Before Interest and Taxes,298700000,397100000,294600000,268000000
Interest Expense,108000000,91600000,102500000,91900000
Income Before Tax,188400000,271800000,191100000,174900000
Income Tax Expense,47700000,86800000,125400000,64900000
Minority Interest,2200000,10600000,12400000,12600000
Net Income From Continuing Ops,140700000,185000000,65700000,110000000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,151400000,190600000,64500000,108900000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,151400000,190600000,64500000,108900000
Net Income,151400000,190600000,64500000,108900000
Depreciation,81300000,73300000,71400000,76300000
Adjustments To Net Income,54400000,33600000,19800000,19900000
Changes In Accounts Receivables,22300000,17600000,35300000,58800000
Changes In Liabilities,1600000,40600000,46100000,47800000
Changes In Inventories,17100000,1800000,10700000,34000000
Changes In Other Operating Activities,20300000,117600000,31600000,41800000
Total Cash Flow From Operating Activities,222900000,165500000,234200000,225200000
Capital Expenditures,67000000,62400000,65900000,47500000
Investments,,,,
Other Cash flows from Investing Activities,,200000,1000000,2100000
Total Cash Flows From Investing Activities,62100000,62400000,59700000,10400000
Dividends Paid,,,,
Sale Purchase of Stock,12800000,15700000,25400000,4300000
Net Borrowings,138600000,365600000,124800000,239400000
Other Cash Flows from Financing Activities,4500000,31400000,10000000,800000
Total Cash Flows From Financing Activities,175200000,185100000,90700000,238100000
Effect Of Exchange Rate Changes,9400000,6200000,7600000,4800000
Change In Cash and Cash Equivalents,23800000,88200000,91400000,18500000
