,1-28-2018,1-29-2017,1-31-2016,2-1-2015
Total Revenue,100904000000,94595000000,88519000000,83176000000
Cost of Revenue,66548000000,62282000000,58254000000,54787000000
Gross Profit,34356000000,32313000000,30265000000,28389000000
Research Development,,,,
Selling General and Administrative,17864000000,17132000000,16801000000,16310000000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,86223000000,81168000000,76745000000,72737000000
Operating Income or Loss,14681000000,13427000000,11774000000,10439000000
Total Other Income/Expenses Net,983000000,936000000,753000000,463000000
Earnings Before Interest and Taxes,14681000000,13427000000,11774000000,10439000000
Interest Expense,1057000000,972000000,919000000,830000000
Income Before Tax,13698000000,12491000000,11021000000,9976000000
Income Tax Expense,5068000000,4534000000,4012000000,3631000000
Minority Interest,,,,
Net Income From Continuing Ops,8630000000,7957000000,7009000000,6345000000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,8630000000,7957000000,7009000000,6345000000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,8630000000,7957000000,7009000000,6345000000
Cash And Cash Equivalents,3595000000,2538000000,2216000000,1723000000
Short Term Investments,,,,
Net Receivables,1952000000,2029000000,1890000000,1484000000
Inventory,12748000000,12549000000,11809000000,11079000000
Other Current Assets,638000000,608000000,569000000,1016000000
Total Current Assets,18933000000,17724000000,16484000000,15302000000
Long Term Investments,,,,
Property Plant and Equipment,22075000000,21914000000,22191000000,22720000000
Goodwill,2275000000,2093000000,2102000000,1353000000
Intangible Assets,563000000,,,
Accumulated Amortization,,,,
Other Assets,683000000,1235000000,1196000000,571000000
Deferred Long Term Asset Charges,119000000,91000000,80000000,51000000
Total Assets,44529000000,42966000000,41973000000,39946000000
Accounts Payable,7244000000,7000000000,6565000000,5807000000
Short/Current Long Term Debt,27028000000,23601000000,21216000000,17197000000
Other Current Liabilities,1859000000,1694000000,1600000000,1504000000
Total Current Liabilities,16194000000,14133000000,12524000000,11269000000
Long Term Debt,23335000000,22349000000,20789000000,16869000000
Other Liabilities,2614000000,2151000000,2344000000,2486000000
Deferred Long Term Liability Charges,,,,
Minority Interest,,,,
Negative Goodwill,,,,
Total Liabilities,43075000000,38633000000,35657000000,30624000000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,89000000,88000000,88000000,88000000
Retained Earnings,39935000000,35519000000,30973000000,26995000000
Treasury Stock,48762000000,41061000000,34092000000,26646000000
Capital Surplus,10192000000,9787000000,9347000000,8885000000
Other Stockholder Equity,566000000,867000000,898000000,452000000
Total Stockholder Equity,1454000000,4333000000,6316000000,9322000000
Net Tangible Assets,1384000000,2240000000,4214000000,7969000000
Net Income,8630000000,7957000000,7009000000,6345000000
Depreciation,2062000000,1973000000,1863000000,1786000000
Adjustments To Net Income,273000000,267000000,100000000,98000000
Changes In Accounts Receivables,139000000,138000000,181000000,81000000
Changes In Liabilities,572000000,428000000,1012000000,549000000
Changes In Inventories,84000000,769000000,546000000,124000000
Changes In Other Operating Activities,410000000,44000000,38000000,303000000
Total Cash Flow From Operating Activities,12031000000,9783000000,9373000000,8242000000
Capital Expenditures,1897000000,1621000000,1503000000,1442000000
Investments,,,144000000,323000000
Other Cash flows from Investing Activities,4000000,4000000,4000000,4000000
Total Cash Flows From Investing Activities,2228000000,1583000000,2982000000,1271000000
Dividends Paid,4212000000,3404000000,3031000000,2530000000
Sale Purchase of Stock,255000000,218000000,228000000,252000000
Net Borrowings,3298000000,2274000000,4012000000,2232000000
Other Cash Flows from Financing Activities,211000000,78000000,4000000,25000000
Total Cash Flows From Financing Activities,8870000000,7870000000,5787000000,7071000000
Effect Of Exchange Rate Changes,124000000,8000000,111000000,106000000
Change In Cash and Cash Equivalents,1057000000,322000000,493000000,206000000
