,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Total Revenue,3776200000,3493100000,3394800000,3297600000
Cost of Revenue,2046600000,1897600000,1883000000,1844700000
Gross Profit,1729600000,1595500000,1511800000,1452900000
Research Development,,,,
Selling General and Administrative,996900000,866400000,828700000,806700000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,3043500000,2764000000,2711700000,2651400000
Operating Income or Loss,732700000,729100000,683100000,646200000
Total Other Income/Expenses Net,40000000,23200000,47700000,21300000
Earnings Before Interest and Taxes,732700000,729100000,683100000,646200000
Interest Expense,,27700000,30500000,27400000
Income Before Tax,692700000,705900000,635400000,624900000
Income Tax Expense,50700000,246900000,225000000,211000000
Minority Interest,,,,
Net Income From Continuing Ops,743400000,459000000,410400000,413900000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,743400000,459000000,410400000,413900000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,743400000,459000000,410400000,413900000
Cash And Cash Equivalents,278900000,187800000,330000000,423000000
Short Term Investments,,,,
Net Receivables,345900000,287000000,276200000,322900000
Inventory,330700000,258200000,274000000,245900000
Other Current Assets,44700000,23800000,25800000,26300000
Total Current Assets,1000200000,756800000,906000000,1018100000
Long Term Investments,9300000,8500000,8400000,24800000
Property Plant and Equipment,607700000,588600000,609600000,616200000
Goodwill,1958900000,1444100000,1354900000,1325000000
Intangible Assets,2320500000,1431800000,1269500000,1272400000
Accumulated Amortization,,,,
Other Assets,118200000,124300000,108500000,102700000
Deferred Long Term Asset Charges,,,,
Total Assets,6014800000,4354100000,4256900000,4359200000
Accounts Payable,,331600000,293900000,284100000
Short/Current Long Term Debt,2374300000,1217200000,1050000000,1087500000
Other Current Liabilities,664100000,6200000,7200000,1000000
Total Current Liabilities,935000000,1001900000,872700000,905300000
Long Term Debt,2103400000,693400000,692800000,690900000
Other Liabilities,758400000,589600000,668200000,661100000
Deferred Long Term Liability Charges,,,,
Minority Interest,,,,
Negative Goodwill,,,,
Total Liabilities,3796800000,2376200000,2233700000,2257300000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,2218000000,292800000,292800000,146400000
Retained Earnings,,2926000000,2650000000,2414900000
Treasury Stock,,1492300000,1149600000,824200000
Capital Surplus,,251400000,230000000,364800000
Other Stockholder Equity,,63800000,45900000,34700000
Total Stockholder Equity,2218000000,1977900000,2023200000,2101900000
Net Tangible Assets,2061400000,898000000,601200000,495500000
Net Income,743400000,459000000,410400000,413900000
Depreciation,125400000,107600000,101000000,91200000
Adjustments To Net Income,188100000,44500000,73800000,40200000
Changes In Accounts Receivables,9700000,12700000,33500000,1800000
Changes In Liabilities,30300000,50500000,21800000,2400000
Changes In Inventories,25200000,19200000,38500000,1800000
Changes In Other Operating Activities,16600000,45600000,25600000,24900000
Total Cash Flow From Operating Activities,681500000,655300000,606100000,540300000
Capital Expenditures,45000000,49800000,61800000,70500000
Investments,,,,
Other Cash flows from Investing Activities,1600000,500000,4500000,2200000
Total Cash Flows From Investing Activities,1303400000,354600000,141200000,288400000
Dividends Paid,190400000,183000000,175300000,167500000
Sale Purchase of Stock,42100000,50500000,28500000,32700000
Net Borrowings,1265500000,68900000,38300000,293100000
Other Cash Flows from Financing Activities,18300000,24000000,13200000,13900000
Total Cash Flows From Financing Activities,698900000,439600000,535000000,306600000
Effect Of Exchange Rate Changes,14100000,3300000,22900000,19200000
Change In Cash and Cash Equivalents,91100000,142200000,93000000,73900000
