,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Total Revenue,1933026000,1390513000,1005480000,682563000
Cost of Revenue,499772000,398682000,329413000,248776000
Gross Profit,1433254000,991831000,676067000,433787000
Research Development,377518000,285239000,217389000,148258000
Selling General and Administrative,1157150000,858400000,625043000,436164000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,2034440000,1542321000,1171845000,833198000
Operating Income or Loss,101414000,151808000,166365000,150635000
Total Other Income/Expenses Net,47590000,298243000,26647000,24905000
Earnings Before Interest and Taxes,101414000,151808000,166365000,150635000
Interest Expense,53394000,33278000,31097000,29059000
Income Before Tax,149004000,450051000,193012000,175540000
Income Tax Expense,126000,1753000,5414000,3847000
Minority Interest,,,,
Net Income From Continuing Ops,149130000,451804000,198426000,179387000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,149130000,451804000,198426000,179387000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,149130000,451804000,198426000,179387000
Net Income,149130000,451804000,198426000,179387000
Depreciation,113875000,83082000,60356000,42059000
Adjustments To Net Income,384095000,317919000,257272000,156736000
Changes In Accounts Receivables,98432000,125106000,50855000,56785000
Changes In Liabilities,376058000,296613000,210685000,178616000
Changes In Inventories,,,,
Changes In Other Operating Activities,152297000,75278000,57916000,80631000
Total Cash Flow From Operating Activities,642825000,159921000,317754000,140937000
Capital Expenditures,150510000,105562000,87481000,54379000
Investments,668565000,50371000,141190000,162681000
Other Cash flows from Investing Activities,,210000,222000,55000
Total Cash Flows From Investing Activities,883948000,108448000,231743000,316928000
Dividends Paid,,,,
Sale Purchase of Stock,82567000,66378000,93348000,69396000
Net Borrowings,767209000,2223000,223000,223000
Other Cash Flows from Financing Activities,255884000,119907000,12795000,661000
Total Cash Flows From Financing Activities,538892000,55752000,80330000,68735000
Effect Of Exchange Rate Changes,28128000,6788000,6491000,6592000
Change In Cash and Cash Equivalents,325897000,11067000,159850000,113848000
Cash And Cash Equivalents,726495000,401238000,412305000,252455000
Short Term Investments,1052803000,498124000,388945000,416336000
Net Receivables,434895000,322757000,203333000,159171000
Inventory,,,,
Other Current Assets,118690000,76780000,51976000,43232000
Total Current Assets,2410564000,1342535000,1085635000,906986000
Long Term Investments,391442000,273658000,433167000,266772000
Property Plant and Equipment,245124000,181620000,144714000,104237000
Goodwill,128728000,82534000,55669000,55016000
Intangible Assets,86916000,65854000,43005000,54526000
Accumulated Amortization,,,,
Other Assets,135130000,87566000,44862000,37215000
Deferred Long Term Asset Charges,,,,
Total Assets,3397904000,2033767000,1807052000,1424752000
Accounts Payable,32109000,38080000,37369000,17829000
Short/Current Long Term Debt,1173436000,507812000,474534000,443437000
Other Current Liabilities,1280499000,906531000,622525000,429899000
Total Current Liabilities,2100631000,1071498000,731636000,506997000
Long Term Debt,630018000,507812000,474534000,443437000
Other Liabilities,83123000,67496000,34068000,45643000
Deferred Long Term Liability Charges,85530000,61990000,33016000,29453000
Minority Interest,,,,
Negative Goodwill,,,,
Total Liabilities,2813772000,1646806000,1240238000,996077000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,584132000,167000,160000,150000
Retained Earnings,,997390000,557009000,358583000
Treasury Stock,,21133000,16882000,12113000
Capital Surplus,,1405317000,1140545000,799221000
Other Stockholder Equity,,21133000,16882000,12113000
Total Stockholder Equity,584132000,386961000,566814000,428675000
Net Tangible Assets,368488000,238573000,468140000,319133000
