,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Total Revenue,3204000000,3017000000,2913000000,2904000000
Cost of Revenue,2539000000,2310000000,2263000000,2279000000
Gross Profit,665000000,707000000,650000000,625000000
Research Development,,,,
Selling General and Administrative,298000000,304000000,302000000,323000000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,2837000000,2611000000,2559000000,2617000000
Operating Income or Loss,367000000,406000000,354000000,287000000
Total Other Income/Expenses Net,32000000,132000000,118000000,254000000
Earnings Before Interest and Taxes,367000000,406000000,354000000,287000000
Interest Expense,69000000,145000000,163000000,179000000
Income Before Tax,335000000,274000000,236000000,33000000
Income Tax Expense,238000000,63000000,740000000,7000000
Minority Interest,,,,1000000
Net Income From Continuing Ops,97000000,211000000,976000000,26000000
Discontinued Operations,9000000,299000000,15000000,12000000
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,88000000,510000000,991000000,37000000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,88000000,510000000,991000000,37000000
Cash And Cash Equivalents,394000000,427000000,442000000,228000000
Short Term Investments,62000000,62000000,194000000,96000000
Net Receivables,235000000,184000000,189000000,407000000
Inventory,252000000,236000000,219000000,329000000
Other Current Assets,48000000,40000000,356000000,49000000
Total Current Assets,991000000,949000000,1400000000,1109000000
Long Term Investments,723000000,657000000,718000000,793000000
Property Plant and Equipment,1762000000,1707000000,1771000000,1908000000
Goodwill,16000000,,,
Intangible Assets,27000000,8000000,,48000000
Accumulated Amortization,,,,
Other Assets,332000000,548000000,847000000,78000000
Deferred Long Term Asset Charges,287000000,492000000,728000000,18000000
Total Assets,3851000000,3869000000,4736000000,3936000000
Accounts Payable,280000000,237000000,208000000,290000000
Short/Current Long Term Debt,1078000000,1083000000,2175000000,2195000000
Other Current Liabilities,9000000,15000000,115000000,68000000
Total Current Liabilities,415000000,422000000,992000000,563000000
Long Term Debt,1078000000,1083000000,1675000000,2191000000
Other Liabilities,513000000,478000000,633000000,774000000
Deferred Long Term Liability Charges,,,,
Minority Interest,,,,1000000
Negative Goodwill,,,,
Total Liabilities,2006000000,1983000000,3300000000,3528000000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,15000000,15000000,15000000,14000000
Retained Earnings,669000000,782000000,1292000000,2283000000
Treasury Stock,558000000,385000000,314000000,338000000
Capital Surplus,3057000000,3038000000,3027000000,3014000000
Other Stockholder Equity,389000000,385000000,314000000,338000000
Total Stockholder Equity,1845000000,1886000000,1436000000,407000000
Net Tangible Assets,1802000000,1878000000,1436000000,359000000
Net Income,88000000,510000000,991000000,37000000
Depreciation,132000000,134000000,131000000,142000000
Adjustments To Net Income,300000000,112000000,708000000,118000000
Changes In Accounts Receivables,32000000,6000000,21000000,35000000
Changes In Liabilities,20000000,21000000,16000000,9000000
Changes In Inventories,13000000,20000000,16000000,11000000
Changes In Other Operating Activities,101000000,169000000,69000000,91000000
Total Cash Flow From Operating Activities,382000000,373000000,331000000,172000000
Capital Expenditures,168000000,83000000,87000000,125000000
Investments,8000000,140000000,24000000,574000000
Other Cash flows from Investing Activities,7000000,677000000,10000000,3000000
Total Cash Flows From Investing Activities,219000000,746000000,63000000,683000000
Dividends Paid,,,,
Sale Purchase of Stock,15000000,4000000,6000000,4000000
Net Borrowings,21000000,1131000000,36000000,60000000
Other Cash Flows from Financing Activities,8000000,8000000,6000000,3000000
Total Cash Flows From Financing Activities,202000000,1129000000,44000000,66000000
Effect Of Exchange Rate Changes,6000000,5000000,10000000,5000000
Change In Cash and Cash Equivalents,33000000,15000000,211000000,584000000
