,3-31-2018,3-31-2017,3-31-2016,3-31-2015
Total Revenue,1330354000,1257261000,1290678000,1180073000
Cost of Revenue,1027873000,961451000,1005326000,974960000
Gross Profit,302481000,295810000,285352000,205113000
Research Development,,,,
Selling General and Administrative,187683000,201333000,181276000,156008000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,1223624000,1171332000,1195826000,1140722000
Operating Income or Loss,106730000,85929000,94852000,39351000
Total Other Income/Expenses Net,30527000,25406000,40787000,36763000
Earnings Before Interest and Taxes,106730000,85929000,94852000,39351000
Interest Expense,12461000,17215000,17947000,19132000
Income Before Tax,76203000,60523000,54065000,2588000
Income Tax Expense,11411000,24615000,23498000,6284000
Minority Interest,25134000,23134000,22204000,16413000
Net Income From Continuing Ops,64792000,35908000,30567000,3696000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,62007000,32950000,25052000,7827000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,55586000,27971000,21401000,19553000
Cash And Cash Equivalents,17587000,6450000,6555000,3623000
Short Term Investments,,,,
Net Receivables,171961000,168943000,186883000,154294000
Inventory,263792000,258430000,230466000,260550000
Other Current Assets,5113000,6743000,15658000,25943000
Total Current Assets,458453000,440566000,439562000,444410000
Long Term Investments,12343000,8986000,13188000,25038000
Property Plant and Equipment,399381000,406858000,391744000,375813000
Goodwill,103017000,100566000,100885000,98679000
Intangible Assets,54632000,59738000,67133000,65331000
Accumulated Amortization,,,,
Other Assets,15416000,29571000,24804000,28853000
Deferred Long Term Asset Charges,,,,
Total Assets,1043242000,1046285000,1037316000,1038124000
Accounts Payable,105521000,121922000,119606000,111893000
Short/Current Long Term Debt,379718000,428798000,424376000,461894000
Other Current Liabilities,9707000,10607000,12896000,12594000
Total Current Liabilities,221243000,255754000,252184000,215463000
Long Term Debt,270900000,310849000,312214000,390930000
Other Liabilities,132841000,127679000,103791000,111387000
Deferred Long Term Liability Charges,,,,4543000
Minority Interest,25134000,23134000,22204000,16413000
Negative Goodwill,,,,
Total Liabilities,419265000,497634000,517416000,540509000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,11426000,12393000,12393000,12393000
Retained Earnings,39214000,83678000,101778000,114590000
Treasury Stock,29524000,461799000,462256000,460586000
Capital Surplus,364908000,755787000,739097000,723495000
Other Stockholder Equity,21247000,24815000,21261000,15521000
Total Stockholder Equity,307596000,222703000,187456000,160712000
Net Tangible Assets,149947000,62399000,19438000,3298000
Net Income,62007000,32950000,25052000,7827000
Depreciation,72847000,68983000,67137000,61922000
Adjustments To Net Income,21551000,6085000,36525000,32152000
Changes In Accounts Receivables,4327000,15055000,37788000,10351000
Changes In Liabilities,14855000,6851000,10156000,767000
Changes In Inventories,4841000,27917000,28330000,7663000
Changes In Other Operating Activities,1648000,2548000,646000,1953000
Total Cash Flow From Operating Activities,137120000,104239000,135342000,74379000
Capital Expenditures,41709000,51296000,44942000,32080000
Investments,,,,7566000
Other Cash flows from Investing Activities,13254000,1390000,888000,600000
Total Cash Flows From Investing Activities,30445000,61259000,49018000,76093000
Dividends Paid,18478000,14715000,12108000,4804000
Sale Purchase of Stock,9087000,4011000,1765000,81117000
Net Borrowings,72919000,29033000,68460000,64303000
Other Cash Flows from Financing Activities,4696000,3088000,4161000,10216000
Total Cash Flows From Financing Activities,94953000,42825000,82964000,1791000
Effect Of Exchange Rate Changes,585000,260000,428000,385000
Change In Cash and Cash Equivalents,11137000,105000,2932000,308000
