,1-31-2018,1-31-2017,1-31-2016,1-31-2015
Net Income,321222000,384699000,275048000,247982000
Depreciation,136974000,115885000,82939000,58205000
Adjustments To Net Income,468795000,385225000,247797000,158972000
Changes In Accounts Receivables,114613000,91755000,115776000,96876000
Changes In Liabilities,308335000,329953000,281552000,220299000
Changes In Inventories,,,,
Changes In Other Operating Activities,114020000,76275000,27361000,35074000
Total Cash Flow From Operating Activities,465727000,350626000,258637000,102003000
Capital Expenditures,141536000,120813000,133667000,103646000
Investments,695889000,207100000,134284000,275204000
Other Cash flows from Investing Activities,,296000,760000,1000000
Total Cash Flows From Investing Activities,978980000,168885000,300147000,404167000
Dividends Paid,,,,
Sale Purchase of Stock,69056000,58079000,45656000,36239000
Net Borrowings,1132101000,1132101000,1132101000,9759000
Other Cash Flows from Financing Activities,94895000,1602000,1547000,1266000
Total Cash Flows From Financing Activities,1106262000,59681000,44109000,19455000
Effect Of Exchange Rate Changes,751000,385000,704000,425000
Change In Cash and Cash Equivalents,593760000,241807000,1895000,283134000
Total Revenue,2143050000,1574440000,1156690000,787860000
Cost of Revenue,629413000,483545000,374427000,264803000
Gross Profit,1513637000,1090895000,782263000,523057000
Research Development,910584000,680531000,469944000,316868000
Selling General and Administrative,906276000,763450000,562108000,421891000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,2446273000,1927526000,1406479000,1003562000
Operating Income or Loss,303223000,353086000,249789000,215702000
Total Other Income/Expenses Net,11563000,32427000,24242000,30270000
Earnings Before Interest and Taxes,303223000,353086000,249789000,215702000
Interest Expense,44549000,30103000,31932000,31060000
Income Before Tax,314786000,385513000,274031000,245972000
Income Tax Expense,6436000,814000,1017000,2010000
Minority Interest,,,,
Net Income From Continuing Ops,321222000,384699000,275048000,247982000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,321222000,384699000,275048000,247982000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,321222000,384699000,275048000,247982000
Cash And Cash Equivalents,1134355000,539923000,300087000,298192000
Short Term Investments,2133495000,1456822000,1669372000,1559517000
Net Receivables,528208000,409780000,293407000,188357000
Inventory,,,,
Other Current Assets,63154000,59211000,22422000,20842000
Total Current Assets,3956978000,2524445000,2362308000,2108387000
Long Term Investments,29205000,14004000,28742000,12910000
Property Plant and Equipment,546609000,365877000,214158000,140136000
Goodwill,159376000,158354000,50325000,32312000
Intangible Assets,45451000,50885000,18511000,6409000
Accumulated Amortization,,,,
Other Assets,209805000,154717000,56050000,49936000
Deferred Long Term Asset Charges,1884000,4336000,,
Total Assets,4947424000,3268282000,2730094000,2350090000
Accounts Payable,20998000,26824000,19605000,10623000
Short/Current Long Term Debt,1491354000,534423000,507476000,485165000
Other Current Liabilities,1447401000,1088339000,768895000,547156000
Total Current Liabilities,2058874000,1285243000,922679000,641265000
Long Term Debt,1149845000,534423000,507476000,481958000
Other Liabilities,158340000,172008000,163782000,100892000
Deferred Long Term Liability Charges,140509000,117249000,30074000,20998000
Minority Interest,,,,
Negative Goodwill,,,,
Total Liabilities,3367059000,1991674000,1593937000,1224115000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,211000,202000,193000,186000
Retained Earnings,1727856000,1406865000,1112289000,822371000
Treasury Stock,46413000,2071000,799000,140000
Capital Surplus,3354423000,2681200000,2247454000,1948300000
Other Stockholder Equity,46413000,2071000,799000,140000
Total Stockholder Equity,1580365000,1276608000,1136157000,1125975000
Net Tangible Assets,1375538000,1067369000,1067321000,1087254000
