,12-31-2017,12-25-2016,12-27-2015,12-28-2014
Total Revenue,5209782000,5019822000,4447509000,4277207000
Cost of Revenue,2474979000,2350927000,2098727000,2050775000
Gross Profit,2734803000,2668895000,2348782000,2226432000
Research Development,269020000,266375000,242944000,222556000
Selling General and Administrative,1626606000,1546851000,1370183000,1309693000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,4399423000,4198916000,3755576000,3635732000
Operating Income or Loss,810359000,820906000,691933000,641475000
Total Other Income/Expenses Net,24209000,128417000,88018000,101487000
Earnings Before Interest and Taxes,810359000,820906000,691933000,641475000
Interest Expense,98268000,97405000,97122000,93098000
Income Before Tax,786150000,692489000,603915000,539988000
Income Tax Expense,389543000,159338000,157043000,126678000
Minority Interest,,22704000,40170000,42730000
Net Income From Continuing Ops,396607000,533151000,446872000,413310000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,396607000,551380000,451838000,415930000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,396607000,551380000,451838000,415930000
Cash And Cash Equivalents,1581234000,1282285000,976750000,893167000
Short Term Investments,,23571000,22539000,23560000
Net Receivables,1405399000,1319963000,1217850000,1094673000
Inventory,433293000,387675000,384492000,339572000
Other Current Assets,214000000,36847000,72978000,35086000
Total Current Assets,3633926000,3227607000,2865598000,2643505000
Long Term Investments,,,,
Property Plant and Equipment,259710000,267398000,237527000,237489000
Goodwill,,570555000,592695000,593438000
Intangible Assets,,245949000,280807000,324528000
Accumulated Amortization,,,,
Other Assets,1396347000,779857000,744090000,719140000
Deferred Long Term Asset Charges,,212317000,199563000,193875000
Total Assets,5289983000,5091366000,4720717000,4518100000
Accounts Payable,,319525000,241210000,212549000
Short/Current Long Term Debt,1848566000,1720974000,1711678000,1798334000
Other Current Liabilities,85096000,74810000,57406000,53619000
Total Current Liabilities,1251697000,1617859000,1064647000,1071684000
Long Term Debt,1693609000,1198679000,1547115000,1545853000
Other Liabilities,514720000,389388000,404883000,392169000
Deferred Long Term Liability Charges,,82849000,75546000,68190000
Minority Interest,,22704000,40170000,42730000
Negative Goodwill,,,,
Total Liabilities,3460026000,3205926000,3016645000,3009706000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,1829957000,104847000,104847000,104847000
Retained Earnings,,4148722000,3852321000,3630072000
Treasury Stock,,3376251000,3186896000,3075520000
Capital Surplus,,985418000,893630000,806265000
Other Stockholder Equity,,194570000,146001000,95454000
Total Stockholder Equity,1829957000,1862736000,1663902000,1465664000
Net Tangible Assets,1829957000,1046232000,790400000,547698000
Net Income,396607000,551380000,451838000,415930000
Depreciation,171836000,154470000,155327000,157966000
Adjustments To Net Income,159934000,75591000,29960000,23777000
Changes In Accounts Receivables,,149923000,227808000,112366000
Changes In Liabilities,,203783000,149663000,957000
Changes In Inventories,,12065000,99353000,28944000
Changes In Other Operating Activities,3999000,84294000,50369000,48081000
Total Cash Flow From Operating Activities,724378000,774873000,552445000,454411000
Capital Expenditures,134877000,154900000,142022000,113388000
Investments,,,,64400000
Other Cash flows from Investing Activities,3396000,28945000,19743000,48503000
Total Cash Flows From Investing Activities,131481000,138391000,103647000,485000
Dividends Paid,276973000,248881000,225797000,216855000
Sale Purchase of Stock,29431000,42207000,43322000,60519000
Net Borrowings,125459000,8978000,87310000,381040000
Other Cash Flows from Financing Activities,38779000,14713000,10552000,3904000
Total Cash Flows From Financing Activities,312173000,333058000,346457000,230956000
Effect Of Exchange Rate Changes,18225000,2111000,18758000,12252000
Change In Cash and Cash Equivalents,298949000,305535000,83583000,210718000
