,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Cash And Cash Equivalents,172000000,187591000,564017000,393046000
Short Term Investments,,,,
Net Receivables,399015000,398742000,428514000,926768000
Inventory,106588000,103079000,148761000,165562000
Other Current Assets,41088000,54851000,111535000,136547000
Total Current Assets,760819000,781551000,1295125000,1696673000
Long Term Investments,,8579000,6905000,4200000
Property Plant and Equipment,1316944000,1605365000,2123291000,2733839000
Goodwill,807860000,803917000,1140101000,2468409000
Intangible Assets,116708000,128324000,213205000,304061000
Accumulated Amortization,,,,
Other Assets,107894000,142519000,135617000,110600000
Deferred Long Term Asset Charges,,,,
Total Assets,3110225000,3470255000,4914244000,7317782000
Accounts Payable,119716000,94831000,114475000,225306000
Short/Current Long Term Debt,1279771000,1284600000,1618220000,1621314000
Other Current Liabilities,33724000,31511000,40098000,102053000
Total Current Liabilities,375197000,344534000,448576000,712047000
Long Term Debt,1279771000,1284600000,1588263000,1600373000
Other Liabilities,322828000,537201000,666593000,925624000
Deferred Long Term Liability Charges,,,,
Minority Interest,,,,
Negative Goodwill,,,,
Total Liabilities,1977796000,2166335000,2703432000,3238044000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,153000,152000,151000,150000
Retained Earnings,1513458000,1307537000,408162000,1495540000
Treasury Stock,67427000,80248000,45694000,36280000
Capital Surplus,2713161000,2691553000,2664517000,2620328000
Other Stockholder Equity,67427000,80248000,45694000,36280000
Total Stockholder Equity,1132429000,1303920000,2210812000,4079738000
Net Tangible Assets,207861000,371679000,857506000,1307268000
Net Income,205921000,886899000,1854718000,257817000
Depreciation,438716000,509971000,612147000,652143000
Adjustments To Net Income,121309000,461720000,1538583000,18289000
Changes In Accounts Receivables,93309000,128086000,501269000,9487000
Changes In Liabilities,23648000,3667000,105801000,36450000
Changes In Inventories,2455000,7646000,33282000,53594000
Changes In Other Operating Activities,34615000,40004000,61259000,14649000
Total Cash Flow From Operating Activities,103844000,61252000,632612000,1033011000
Capital Expenditures,164933000,80548000,404668000,616102000
Investments,,,,10622000
Other Cash flows from Investing Activities,30600000,1206000,2860000,7767000
Total Cash Flows From Investing Activities,106064000,74239000,388268000,474735000
Dividends Paid,,12111000,48139000,49756000
Sale Purchase of Stock,,,,10560000
Net Borrowings,,337576000,27238000,18962000
Other Cash Flows from Financing Activities,17025000,5793000,6518000,724000
Total Cash Flows From Financing Activities,17025000,355480000,68859000,357168000
Effect Of Exchange Rate Changes,3654000,7959000,4514000,4109000
Change In Cash and Cash Equivalents,15591000,376426000,170971000,196999000
Total Revenue,1874076000,1450047000,2774565000,4556622000
Cost of Revenue,1398695000,1123274000,1865812000,2734833000
Gross Profit,475381000,326773000,908753000,1821789000
Research Development,,,,
Selling General and Administrative,295507000,346606000,510708000,624371000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,2132918000,1979851000,2988667000,4010018000
Operating Income or Loss,258842000,529804000,214102000,546604000
Total Other Income/Expenses Net,118909000,570537000,1845681000,104415000
Earnings Before Interest and Taxes,258842000,529804000,214102000,546604000
Interest Expense,105055000,98027000,101740000,102180000
Income Before Tax,377751000,1100341000,2059783000,442189000
Income Tax Expense,190740000,267001000,252020000,161399000
Minority Interest,,,,
Net Income From Continuing Ops,187011000,833340000,1807763000,280790000
Discontinued Operations,18910000,53559000,46955000,22973000
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,205921000,886899000,1854718000,257817000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,205921000,886899000,1854718000,257817000
