,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Total Revenue,4300170000,3840087000,3974295000,4021964000
Cost of Revenue,2834631000,2537320000,2582187000,2641841000
Gross Profit,1465539000,1302767000,1392108000,1380123000
Research Development,,,,
Selling General and Administrative,533645000,461370000,447792000,462637000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,3368276000,2998690000,3029979000,3104478000
Operating Income or Loss,931894000,841397000,944316000,917486000
Total Other Income/Expenses Net,135165000,148294000,137936000,112654000
Earnings Before Interest and Taxes,931894000,841397000,944316000,917486000
Interest Expense,98029000,94304000,91795000,79928000
Income Before Tax,796729000,693103000,806380000,804832000
Income Tax Expense,115259000,180945000,215521000,220372000
Minority Interest,,,,
Net Income From Continuing Ops,681470000,512158000,590859000,584460000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,681470000,512158000,590859000,584460000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,681470000,512158000,590859000,584460000
Cash And Cash Equivalents,646300000,717259000,381005000,377615000
Short Term Investments,,,,
Net Receivables,668176000,592326000,603295000,585462000
Inventory,540504000,492104000,514451000,495896000
Other Current Assets,79675000,126501000,120076000,119631000
Total Current Assets,1934655000,1928190000,1618827000,1578604000
Long Term Investments,123026000,116638000,119314000,118799000
Property Plant and Equipment,493296000,473230000,484548000,448446000
Goodwill,3115619000,2818950000,2706633000,2614030000
Intangible Assets,2013365000,1734021000,1672961000,1625561000
Accumulated Amortization,,,,
Other Assets,116103000,29645000,58167000,35523000
Deferred Long Term Asset Charges,8064000,4074000,4350000,9530000
Total Assets,7796064000,7100674000,6660450000,6420963000
Accounts Payable,437329000,369537000,365355000,386207000
Short/Current Long Term Debt,2174289000,2341565000,1938040000,1714026000
Other Current Liabilities,113078000,81871000,84702000,71785000
Total Current Liabilities,1138663000,924441000,1024021000,936144000
Long Term Debt,1866166000,2062644000,1553116000,1427825000
Other Liabilities,763602000,857076000,828687000,817433000
Deferred Long Term Liability Charges,,,,
Minority Interest,,,,
Negative Goodwill,,,,
Total Liabilities,3768431000,3844161000,3405824000,3181402000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,2631000,2615000,2608000,2589000
Retained Earnings,5002419000,4403683000,3974793000,3469923000
Treasury Stock,1638311000,1753928000,1291061000,724701000
Capital Surplus,660894000,604143000,568286000,491750000
Other Stockholder Equity,429176000,542389000,405631000,266894000
Total Stockholder Equity,4027633000,3256513000,3254626000,3239561000
Net Tangible Assets,1101351000,1296458000,1124968000,1000030000
Net Income,681470000,512158000,590859000,584460000
Depreciation,183227000,165816000,149460000,138584000
Adjustments To Net Income,127956000,27063000,28983000,36336000
Changes In Accounts Receivables,24581000,14773000,6995000,35258000
Changes In Liabilities,124399000,2657000,20049000,18653000
Changes In Inventories,6087000,38666000,12007000,11626000
Changes In Other Operating Activities,2787000,4298000,255000,8867000
Total Cash Flow From Operating Activities,833259000,756835000,672540000,725962000
Capital Expenditures,75074000,63280000,69083000,71327000
Investments,,,,
Other Cash flows from Investing Activities,399000,500000,429000,2391000
Total Cash Flows From Investing Activities,625817000,452367000,425557000,641633000
Dividends Paid,82735000,83267000,85988000,80551000
Sale Purchase of Stock,40047000,14616000,39192000,15493000
Net Borrowings,279616000,456502000,244754000,326591000
Other Cash Flows from Financing Activities,,5343000,20478000,7889000
Total Cash Flows From Financing Activities,329171000,57054000,216964000,24139000
Effect Of Exchange Rate Changes,50770000,25268000,26629000,26056000
Change In Cash and Cash Equivalents,70959000,336254000,3390000,82412000
