,2-28-2018,2-28-2017,2-29-2016,2-28-2015
Cash And Cash Equivalents,90300000,177400000,83100000,110100000
Short Term Investments,,,,
Net Receivables,1107100000,915700000,857000000,690600000
Inventory,2084000000,1955100000,1851600000,1827200000
Other Current Assets,133400000,123700000,102600000,145800000
Total Current Assets,3474000000,3230000000,2977600000,2910800000
Long Term Investments,777100000,103100000,300000,200000
Property Plant and Equipment,4789700000,3932800000,3333400000,2681600000
Goodwill,8083100000,7920500000,7138600000,6208200000
Intangible Assets,3304800000,3377700000,3403800000,3181000000
Accumulated Amortization,,,,
Other Assets,110000000,38300000,111300000,111200000
Deferred Long Term Asset Charges,,,,
Total Assets,20538700000,18602400000,16965000000,15093000000
Accounts Payable,592200000,559800000,429300000,285800000
Short/Current Long Term Debt,10186700000,9238400000,8088800000,7319700000
Other Current Liabilities,204900000,222600000,221400000,290900000
Total Current Liabilities,1944700000,2697600000,2272300000,1130700000
Long Term Debt,9417600000,7720700000,6816600000,7090900000
Other Liabilities,1113700000,1299300000,1184300000,990100000
Deferred Long Term Liability Charges,,,,
Minority Interest,16600000,6400000,132200000,110600000
Negative Goodwill,,,,
Total Liabilities,12476000000,11717600000,10273200000,9211700000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,2900000,2900000,2900000,2800000
Retained Earnings,9228200000,7310000000,6090500000,5277500000
Treasury Stock,4010300000,3177500000,2122800000,1779400000
Capital Surplus,2825300000,2755800000,2589000000,2269800000
Other Stockholder Equity,202900000,399800000,452500000,130900000
Total Stockholder Equity,8046100000,6891200000,6559600000,5770700000
Net Tangible Assets,3341800000,4407000000,3982800000,3618500000
Total Revenue,7585000000,7331500000,6548400000,6028000000
Cost of Revenue,3730000000,3782000000,3587700000,3449400000
Gross Profit,3855000000,3549500000,2960700000,2578600000
Research Development,,,,
Selling General and Administrative,1378100000,1290600000,1124300000,1045400000
Non Recurring,,,,
Others,2400000,2600000,2600000,2600000
Total Operating Expenses,5105700000,5075200000,4712000000,4494800000
Operating Income or Loss,2479300000,2256300000,1836400000,1533200000
Total Other Income/Expenses Net,136600000,162900000,335200000,353600000
Earnings Before Interest and Taxes,2479300000,2256300000,1836400000,1533200000
Interest Expense,332000000,333300000,313900000,342100000
Income Before Tax,2342700000,2093400000,1501200000,1179600000
Income Tax Expense,11900000,554200000,440600000,343400000
Minority Interest,16600000,6400000,132200000,110600000
Net Income From Continuing Ops,2330800000,1539200000,1060600000,836200000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,2318900000,1535100000,1054900000,839300000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,2318900000,1535100000,1054900000,839300000
Net Income,2318900000,1535100000,1054900000,839300000
Depreciation,299700000,247900000,221000000,202000000
Adjustments To Net Income,359000000,53100000,298600000,169600000
Changes In Accounts Receivables,34100000,49400000,129800000,16100000
Changes In Liabilities,12800000,115900000,24700000,800000
Changes In Inventories,123800000,151000000,10100000,132500000
Changes In Other Operating Activities,183100000,50600000,65800000,24900000
Total Cash Flow From Operating Activities,1931400000,1696000000,1413700000,1081000000
Capital Expenditures,1057600000,907400000,891300000,719400000
Investments,191300000,191300000,191300000,191300000
Other Cash flows from Investing Activities,19100000,18700000,300000,13800000
Total Cash Flows From Investing Activities,1423100000,1461800000,2207400000,1015900000
Dividends Paid,400100000,315100000,241600000,241600000
Sale Purchase of Stock,49400000,59700000,113000000,63700000
Net Borrowings,941900000,1190900000,761900000,312400000
Other Cash Flows from Financing Activities,153900000,52400000,176500000,392500000
Total Cash Flows From Financing Activities,601200000,134800000,776000000,16400000
Effect Of Exchange Rate Changes,5800000,5100000,9300000,2500000
Change In Cash and Cash Equivalents,87100000,94300000,27000000,46200000
