,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Cash And Cash Equivalents,383824000,456264000,457549000,413251000
Short Term Investments,371154000,383176000,328718000,284384000
Net Receivables,464847000,372348000,391485000,377640000
Inventory,594804000,524961000,490224000,470997000
Other Current Assets,15885000,16761000,15251000,61747000
Total Current Assets,1976649000,1844524000,1777596000,1716367000
Long Term Investments,1027736000,830790000,719840000,389309000
Property Plant and Equipment,493496000,488614000,437690000,428836000
Goodwill,506069000,477115000,495948000,500441000
Intangible Assets,174113000,161609000,214026000,254228000
Accumulated Amortization,,,,
Other Assets,94949000,47852000,64618000,52097000
Deferred Long Term Asset Charges,,,,
Total Assets,4273012000,3850504000,3709718000,3341278000
Accounts Payable,135182000,133109000,122391000,128608000
Short/Current Long Term Debt,435001000,434520000,434181000,435975000
Other Current Liabilities,195462000,174515000,160805000,164462000
Total Current Liabilities,502696000,471322000,441351000,446761000
Long Term Debt,423100000,422500000,421900000,423500000
Other Liabilities,405485000,365836000,343981000,273652000
Deferred Long Term Liability Charges,,,,
Minority Interest,,,,
Negative Goodwill,,,,
Total Liabilities,1342762000,1271344000,1219215000,1156123000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,3000,3000,3000,3000
Retained Earnings,1830439000,1828581000,1808055000,1694962000
Treasury Stock,738577000,417665000,382037000,218844000
Capital Surplus,361231000,332911000,300408000,271346000
Other Stockholder Equity,738794000,417766000,382138000,218945000
Total Stockholder Equity,2930250000,2579160000,2490503000,2185155000
Net Tangible Assets,2250068000,1940436000,1780529000,1430486000
Net Income,122249000,26000000,109239000,88845000
Depreciation,148700000,142900000,131800000,149900000
Adjustments To Net Income,36936000,86233000,11371000,16867000
Changes In Accounts Receivables,64100000,12500000,39000000,11100000
Changes In Liabilities,74200000,21300000,24600000,16200000
Changes In Inventories,47700000,57100000,54200000,5800000
Changes In Other Operating Activities,4400000,16500000,10300000,3400000
Total Cash Flow From Operating Activities,103885000,216433000,186210000,273312000
Capital Expenditures,111332000,141436000,112000000,120999000
Investments,17114000,58192000,45010000,9631000
Other Cash flows from Investing Activities,1000000,350000,4210000,4210000
Total Cash Flows From Investing Activities,175572000,213880000,166869000,190511000
Dividends Paid,,,,
Sale Purchase of Stock,7294000,11280000,8236000,15051000
Net Borrowings,352000,266000,282000,1813000
Other Cash Flows from Financing Activities,3681000,1994000,627000,1549000
Total Cash Flows From Financing Activities,341000,9020000,8581000,11689000
Effect Of Exchange Rate Changes,1094000,12858000,16376000,12790000
Change In Cash and Cash Equivalents,72440000,1285000,44298000,81700000
Total Revenue,2160153000,2068172000,2019441000,2175044000
Cost of Revenue,960654000,927985000,897771000,990727000
Gross Profit,1199499000,1140187000,1121670000,1184317000
Research Development,227201000,205864000,192972000,219733000
Selling General and Administrative,818942000,785324000,761990000,809600000
Non Recurring,,,,
Others,3300000,3300000,3300000,3300000
Total Operating Expenses,2010097000,1919173000,1852733000,2020060000
Operating Income or Loss,150056000,148999000,166708000,154984000
Total Other Income/Expenses Net,52251000,107439000,20861000,23427000
Earnings Before Interest and Taxes,150056000,148999000,166708000,154984000
Interest Expense,21914000,21942000,21692000,22131000
Income Before Tax,97805000,41560000,145847000,131557000
Income Tax Expense,24444000,15560000,36608000,42712000
Minority Interest,,,,
Net Income From Continuing Ops,122249000,26000000,109239000,88845000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,122249000,26000000,109239000,88845000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,122249000,26000000,109239000,88845000
