,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Total Revenue,2136606000,1753250000,1639578000,1647824000
Cost of Revenue,912734000,793683000,722368000,769016000
Gross Profit,1223872000,959567000,917210000,878808000
Research Development,285465000,271925000,276050000,275639000
Selling General and Administrative,368487000,334782000,322513000,329115000
Non Recurring,,,,
Others,31000,49000,49000,23000
Total Operating Expenses,1597247000,1452989000,1389913000,1444564000
Operating Income or Loss,539359000,300261000,249665000,203260000
Total Other Income/Expenses Net,14947000,355321000,3459000,107884000
Earnings Before Interest and Taxes,539359000,300261000,249665000,203260000
Interest Expense,21663000,3637000,1876000,6934000
Income Before Tax,524412000,55060000,253124000,95376000
Income Tax Expense,266720000,11639000,46647000,14104000
Minority Interest,,,,
Net Income From Continuing Ops,257692000,43421000,206477000,81272000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,257692000,43421000,206477000,81272000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,257692000,43421000,206477000,81272000
Net Income,257692000,43421000,206477000,81272000
Depreciation,108075000,120009000,140773000,152544000
Adjustments To Net Income,77640000,329639000,56292000,189742000
Changes In Accounts Receivables,80584000,18325000,57267000,8060000
Changes In Liabilities,48558000,3186000,75459000,23397000
Changes In Inventories,44960000,34263000,15559000,51803000
Changes In Other Operating Activities,3648000,25238000,9061000,7621000
Total Cash Flow From Operating Activities,626495000,455197000,423076000,492062000
Capital Expenditures,105375000,85272000,89878000,168982000
Investments,162490000,560241000,257799000,148656000
Other Cash flows from Investing Activities,5064000,5051000,1098000,4184000
Total Cash Flows From Investing Activities,262801000,640462000,113722000,332873000
Dividends Paid,55447000,48619000,50713000,37425000
Sale Purchase of Stock,24493000,20473000,19530000,21291000
Net Borrowings,,450800000,450800000,190972000
Other Cash Flows from Financing Activities,13931000,47879000,7773000,535000
Total Cash Flows From Financing Activities,245189000,228444000,338905000,206571000
Effect Of Exchange Rate Changes,3454000,3454000,3454000,3454000
Change In Cash and Cash Equivalents,121959000,43179000,29551000,47382000
Cash And Cash Equivalents,429843000,307884000,264705000,294256000
Short Term Investments,1347979000,871024000,477696000,533787000
Net Receivables,272783000,192444000,211293000,151034000
Inventory,107525000,135958000,153588000,105129000
Other Current Assets,86537000,92512000,127450000,129793000
Total Current Assets,2270281000,1623803000,1259968000,1243846000
Long Term Investments,125926000,433843000,265928000,470789000
Property Plant and Equipment,268447000,253821000,273414000,329038000
Goodwill,252011000,223343000,488413000,273438000
Intangible Assets,79088000,100401000,239831000,190600000
Accumulated Amortization,,,,
Other Assets,113792000,127282000,21120000,30809000
Deferred Long Term Asset Charges,84026000,107405000,7404000,7494000
Total Assets,3109545000,2762493000,2548674000,2538520000
Accounts Payable,86393000,95362000,92358000,47763000
Short/Current Long Term Debt,365987000,352669000,,
Other Current Liabilities,176766000,123211000,129703000,101489000
Total Current Liabilities,454336000,372696000,372857000,291551000
Long Term Debt,365987000,352669000,,
Other Liabilities,335576000,208469000,210031000,167989000
Deferred Long Term Liability Charges,,,,
Minority Interest,,,,
Negative Goodwill,,,,
Total Liabilities,1155899000,933834000,582888000,459540000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,24444000,24897000,25455000,27077000
Retained Earnings,272013000,230292000,467828000,610079000
Treasury Stock,18776000,20214000,8144000,4689000
Capital Surplus,1638413000,1593684000,1480647000,1437135000
Other Stockholder Equity,18776000,20214000,8144000,4689000
Total Stockholder Equity,1953646000,1828659000,1965786000,2078980000
Net Tangible Assets,1622547000,1504915000,1237542000,1614942000
