,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Total Revenue,45807000000,37688000000,21292000000,15689000000
Cost of Revenue,37851000000,30636000000,17242000000,12678000000
Gross Profit,7956000000,7052000000,4050000000,3011000000
Research Development,,,,
Selling General and Administrative,4363000000,3814000000,1990000000,1424000000
Non Recurring,,,,
Others,1968000000,1399000000,1277000000,1085000000
Total Operating Expenses,44338000000,35996000000,20533000000,15203000000
Operating Income or Loss,1469000000,1692000000,759000000,486000000
Total Other Income/Expenses Net,335000000,535000000,62000000,29000000
Earnings Before Interest and Taxes,1469000000,1692000000,759000000,486000000
Interest Expense,255000000,217000000,43000000,35000000
Income Before Tax,1134000000,1157000000,697000000,457000000
Income Tax Expense,326000000,599000000,339000000,196000000
Minority Interest,26000000,159000000,167000000,147000000
Net Income From Continuing Ops,808000000,558000000,358000000,261000000
Discontinued Operations,,3000000,1000000,3000000
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,828000000,562000000,355000000,271000000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,828000000,562000000,355000000,271000000
Cash And Cash Equivalents,4072000000,3930000000,1760000000,1610000000
Short Term Investments,531000000,505000000,176000000,177000000
Net Receivables,3395000000,3210000000,1279000000,890000000
Inventory,,,,
Other Current Assets,705000000,720000000,390000000,274000000
Total Current Assets,8703000000,8365000000,3605000000,2951000000
Long Term Investments,5313000000,4549000000,1938000000,1291000000
Property Plant and Equipment,1104000000,797000000,518000000,445000000
Goodwill,4749000000,4712000000,842000000,754000000
Intangible Assets,1398000000,1545000000,155000000,120000000
Accumulated Amortization,,,,
Other Assets,588000000,229000000,281000000,263000000
Deferred Long Term Asset Charges,,,,
Total Assets,21855000000,20197000000,7339000000,5824000000
Accounts Payable,9000000000,8306000000,3481000000,2727000000
Short/Current Long Term Debt,4771000000,4717000000,1223000000,879000000
Other Current Liabilities,328000000,313000000,143000000,168000000
Total Current Liabilities,9332000000,8623000000,3629000000,2900000000
Long Term Debt,4767000000,4713000000,1218000000,874000000
Other Liabilities,880000000,807000000,168000000,159000000
Deferred Long Term Liability Charges,,,,
Minority Interest,26000000,159000000,167000000,147000000
Negative Goodwill,,,,
Total Liabilities,14979000000,14143000000,5015000000,3933000000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,,,,
Retained Earnings,2748000000,1920000000,1358000000,1003000000
Treasury Stock,247000000,215000000,157000000,99000000
Capital Surplus,4349000000,4190000000,956000000,840000000
Other Stockholder Equity,3000000,36000000,10000000,1000000
Total Stockholder Equity,6850000000,5895000000,2157000000,1744000000
Net Tangible Assets,703000000,362000000,1160000000,870000000
Net Income,828000000,562000000,355000000,271000000
Depreciation,361000000,278000000,111000000,89000000
Adjustments To Net Income,6000000,227000000,50000000,1000000
Changes In Accounts Receivables,50000000,74000000,360000000,463000000
Changes In Liabilities,72000000,445000000,12000000,635000000
Changes In Inventories,,,,
Changes In Other Operating Activities,272000000,265000000,490000000,692000000
Total Cash Flow From Operating Activities,1489000000,1851000000,658000000,1223000000
Capital Expenditures,422000000,306000000,150000000,103000000
Investments,805000000,794000000,652000000,609000000
Other Cash flows from Investing Activities,12000000,12000000,12000000,12000000
Total Cash Flows From Investing Activities,1265000000,2397000000,813000000,848000000
Dividends Paid,,,,
Sale Purchase of Stock,,,,
Net Borrowings,47000000,2870000000,342000000,201000000
Other Cash Flows from Financing Activities,64000000,90000000,16000000,26000000
Total Cash Flows From Financing Activities,82000000,2717000000,305000000,198000000
Effect Of Exchange Rate Changes,,1000000,1000000,1000000
Change In Cash and Cash Equivalents,142000000,2170000000,150000000,572000000
