,12-31-2017,12-31-2016,12-31-2015,12-31-2014
Total Revenue,1814019000,1756682000,2084040000,3075118000
Cost of Revenue,651599000,633653000,907574000,1967528000
Gross Profit,1162420000,1123029000,1176466000,1107590000
Research Development,,,,
Selling General and Administrative,551519000,547184000,575552000,568981000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,1467350000,1397573000,1693336000,2728217000
Operating Income or Loss,346669000,359109000,390704000,346901000
Total Other Income/Expenses Net,188768000,197133000,70046000,121931000
Earnings Before Interest and Taxes,346669000,359109000,390704000,346901000
Interest Expense,169395000,138350000,131868000,132281000
Income Before Tax,157901000,161976000,320658000,224970000
Income Tax Expense,9937000,11973000,14712000,10801000
Minority Interest,37826000,31752000,36738000,39312000
Net Income From Continuing Ops,147964000,150003000,305946000,214169000
Discontinued Operations,,,774000,3791000
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,101058000,104505000,258230000,164201000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,57645000,99883000,258230000,164201000
Net Income,101058000,104505000,258230000,164201000
Depreciation,264232000,216736000,210210000,191708000
Adjustments To Net Income,61855000,104327000,2902000,71227000
Changes In Accounts Receivables,865000,23234000,67257000,72298000
Changes In Liabilities,30409000,14071000,32152000,153671000
Changes In Inventories,11936000,940000,16776000,82075000
Changes In Other Operating Activities,4692000,11300000,4873000,83164000
Total Cash Flow From Operating Activities,406799000,436761000,524937000,518523000
Capital Expenditures,384638000,204358000,324808000,356965000
Investments,,,,
Other Cash flows from Investing Activities,37880000,11063000,1853000,9278000
Total Cash Flows From Investing Activities,1696441000,311078000,452029000,340231000
Dividends Paid,485139000,392962000,341140000,341140000
Sale Purchase of Stock,643878000,27710000,27710000,27710000
Net Borrowings,574297000,60660000,363767000,209800000
Other Cash Flows from Financing Activities,4676000,3812000,51856000,56845000
Total Cash Flows From Financing Activities,1276272000,211324000,29229000,188185000
Effect Of Exchange Rate Changes,1720000,2721000,12729000,2938000
Change In Cash and Cash Equivalents,11650000,82920000,30950000,12831000
Cash And Cash Equivalents,24292000,35942000,118862000,87912000
Short Term Investments,,,,
Net Receivables,176775000,280610000,145064000,208478000
Inventory,26857000,37945000,38749000,55713000
Other Current Assets,6526000,7792000,14845000,20904000
Total Current Assets,250432000,377183000,333851000,389147000
Long Term Investments,,1314000,2755000,74223000
Property Plant and Equipment,4300933000,3722283000,3683571000,3460732000
Goodwill,1097475000,696637000,696637000,617429000
Intangible Assets,784479000,127083000,112011000,58670000
Accumulated Amortization,,,,
Other Assets,101914000,106045000,296700000,318595000
Deferred Long Term Asset Charges,233000,2051000,2858000,4429000
Total Assets,6535233000,5030545000,5125525000,4918796000
Accounts Payable,145932000,118686000,125147000,162056000
Short/Current Long Term Debt,3652653000,3070996000,3141064000,2826452000
Other Current Liabilities,22415000,20865000,20388000,18024000
Total Current Liabilities,651506000,289396000,332213000,365192000
Long Term Debt,3267663000,3016996000,3057064000,2749452000
Other Liabilities,135975000,112536000,126404000,87942000
Deferred Long Term Liability Charges,,,,32957000
Minority Interest,37826000,31752000,36738000,39312000
Negative Goodwill,,,,
Total Liabilities,4055144000,3418928000,3515681000,3202586000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,1770587000,1455642000,1661900000,1744810000
Retained Earnings,,,,
Treasury Stock,84927000,94177000,88794000,67912000
Capital Surplus,,,,
Other Stockholder Equity,84927000,94177000,88794000,67912000
Total Stockholder Equity,1685660000,1361465000,1573106000,1676898000
Net Tangible Assets,196294000,537745000,764458000,1000799000
