,12-29-2017,12-30-2016,12-25-2015,12-26-2014
Total Revenue,1474744000,1329293000,1286485000,1221130000
Cost of Revenue,681695000,621054000,601785000,554394000
Gross Profit,793049000,708239000,684700000,666736000
Research Development,60106000,60606000,58559000,54246000
Selling General and Administrative,372496000,341734000,324016000,303565000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,1114297000,1023394000,984360000,912205000
Operating Income or Loss,360447000,305899000,302125000,308925000
Total Other Income/Expenses Net,13353000,209244000,172588000,6148000
Earnings Before Interest and Taxes,360447000,305899000,302125000,308925000
Interest Expense,16202000,17590000,17643000,18733000
Income Before Tax,347094000,96655000,474713000,315073000
Income Tax Expense,94682000,55981000,129000000,89500000
Minority Interest,,,,
Net Income From Continuing Ops,252412000,40674000,345713000,225573000
Discontinued Operations,,,,
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,252412000,40674000,345713000,225573000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,252412000,40674000,345713000,225573000
Cash And Cash Equivalents,103662000,52365000,52295000,23656000
Short Term Investments,,,,421767000
Net Receivables,256421000,217794000,225402000,214944000
Inventory,239349000,201609000,202136000,159797000
Other Current Assets,18176000,20524000,19469000,10849000
Total Current Assets,631926000,503362000,509017000,839538000
Long Term Investments,6755000,6366000,6129000,5859000
Property Plant and Equipment,204298000,189596000,178437000,161230000
Goodwill,278789000,259849000,394488000,292574000
Intangible Assets,184840000,180148000,230586000,179874000
Accumulated Amortization,,,,
Other Assets,72597000,103788000,72695000,65703000
Deferred Long Term Asset Charges,50916000,86653000,56976000,48951000
Total Assets,1379205000,1243109000,1391352000,1544778000
Accounts Payable,48748000,39988000,40505000,39306000
Short/Current Long Term Debt,232613000,314598000,408596000,620016000
Other Current Liabilities,102575000,76640000,76190000,70817000
Total Current Liabilities,234426000,177985000,194616000,172737000
Long Term Debt,226035000,305685000,392695000,615000000
Other Liabilities,195681000,185619000,168490000,161009000
Deferred Long Term Liability Charges,,,,
Minority Interest,,,,
Negative Goodwill,,,,
Total Liabilities,656142000,669289000,755801000,948746000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,169319000,55834000,55766000,59199000
Retained Earnings,181599000,206820000,285508000,252865000
Treasury Stock,127789000,142228000,104497000,100736000
Capital Surplus,499934000,453394000,398774000,384704000
Other Stockholder Equity,127789000,142228000,104497000,100736000
Total Stockholder Equity,723063000,573820000,635551000,596032000
Net Tangible Assets,259434000,133823000,10477000,123584000
Net Income,252412000,40674000,345713000,225573000
Depreciation,45583000,48290000,44607000,35515000
Adjustments To Net Income,58098000,177593000,142255000,10944000
Changes In Accounts Receivables,28010000,4506000,18276000,26557000
Changes In Liabilities,4588000,553000,4305000,450000
Changes In Inventories,32011000,693000,34109000,15079000
Changes In Other Operating Activities,37204000,5083000,8571000,10409000
Total Cash Flow From Operating Activities,337864000,276006000,191414000,241255000
Capital Expenditures,40194000,42113000,41749000,30636000
Investments,,,,530000
Other Cash flows from Investing Activities,360000,124000,9457000,1163000
Total Cash Flows From Investing Activities,68459000,90935000,369939000,216731000
Dividends Paid,80477000,73434000,69429000,66362000
Sale Purchase of Stock,60685000,35796000,20165000,30199000
Net Borrowings,82676000,93005000,211089000,202171000
Other Cash Flows from Financing Activities,24448000,4025000,1330000,5744000
Total Cash Flows From Financing Activities,217076000,185165000,536186000,23574000
Effect Of Exchange Rate Changes,1032000,164000,3472000,2950000
Change In Cash and Cash Equivalents,51297000,70000,28639000,3900000
