,3-31-2018,3-31-2017,3-31-2016,3-31-2015
Net Income,22200000,14200000,1600000,21800000
Depreciation,76700000,58300000,50200000,51600000
Adjustments To Net Income,34700000,5400000,47700000,31100000
Changes In Accounts Receivables,26100000,25700000,8000000,100000
Changes In Liabilities,25200000,19900000,9900000,2400000
Changes In Inventories,12500000,3300000,2700000,4200000
Changes In Other Operating Activities,3600000,27200000,19300000,34300000
Total Cash Flow From Operating Activities,123800000,41600000,72400000,63500000
Capital Expenditures,71000000,65400000,104500000,75000000
Investments,700000,1300000,600000,2800000
Other Cash flows from Investing Activities,200000,3000000,28300000,13000000
Total Cash Flows From Investing Activities,71600000,422200000,77800000,57200000
Dividends Paid,,,,
Sale Purchase of Stock,,,,
Net Borrowings,51900000,356700000,10900000,14500000
Other Cash Flows from Financing Activities,1800000,9100000,1300000,100000
Total Cash Flows From Financing Activities,50100000,347600000,2700000,14600000
Effect Of Exchange Rate Changes,3000000,1700000,1100000,8400000
Change In Cash and Cash Equivalents,5100000,34700000,1600000,16700000
Total Revenue,2103100000,1503000000,1352500000,1496400000
Cost of Revenue,1746600000,1244300000,1118900000,1249900000
Gross Profit,356500000,258700000,233600000,246500000
Research Development,65800000,64400000,61100000,62000000
Selling General and Administrative,175700000,124000000,106900000,124500000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,1988100000,1432700000,1286900000,1436400000
Operating Income or Loss,115000000,70300000,65600000,60000000
Total Other Income/Expenses Net,51700000,49500000,75500000,18800000
Earnings Before Interest and Taxes,115000000,70300000,65600000,60000000
Interest Expense,25600000,17200000,11100000,11700000
Income Before Tax,63300000,20800000,9900000,41200000
Income Tax Expense,39500000,5900000,8900000,19000000
Minority Interest,8400000,7200000,6500000,4600000
Net Income From Continuing Ops,23800000,14900000,1000000,22200000
Discontinued Operations,,,,600000
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,22200000,14200000,1600000,21800000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,22000000,14000000,1600000,21600000
Cash And Cash Equivalents,39300000,34200000,68900000,70500000
Short Term Investments,5700000,4700000,3300000,2800000
Net Receivables,353100000,303000000,197600000,222500000
Inventory,191300000,168500000,111000000,107700000
Other Current Assets,53700000,42900000,31700000,47300000
Total Current Assets,643100000,553300000,412500000,450800000
Long Term Investments,3600000,3300000,3200000,3200000
Property Plant and Equipment,504300000,459000000,338600000,322100000
Goodwill,173800000,165100000,15800000,16200000
Intangible Assets,129900000,134100000,8200000,9900000
Accumulated Amortization,,,,
Other Assets,118700000,134700000,142600000,128700000
Deferred Long Term Asset Charges,96900000,108400000,123100000,115400000
Total Assets,1573400000,1449500000,920900000,930900000
Accounts Payable,277900000,230300000,142400000,152000000
Short/Current Long Term Debt,479400000,510900000,162600000,148700000
Other Current Liabilities,47200000,45100000,35500000,83000000
Total Current Liabilities,515500000,455400000,273600000,310800000
Long Term Debt,386300000,405700000,125500000,129600000
Other Liabilities,173100000,167200000,139100000,129900000
Deferred Long Term Liability Charges,,,,
Minority Interest,8400000,7200000,6500000,4600000
Negative Goodwill,,,,
Total Liabilities,1074900000,1028300000,538200000,570300000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,32700000,32400000,30600000,30400000
Retained Earnings,394900000,372400000,358200000,359800000
Treasury Stock,167400000,207200000,198200000,214800000
Capital Surplus,229900000,216400000,185600000,180600000
Other Stockholder Equity,140300000,181800000,174200000,198600000
Total Stockholder Equity,490100000,414000000,376200000,356000000
Net Tangible Assets,186400000,114800000,352200000,329900000
